U_in_increase,U_out_increase,U_in_decrease,U_out_decrease
0, 4.36, 5, -3.14
0.1, 4.36, 4.9, -3.14
0.2, 4.36, 4.8, -3.14
0.3, 4.36, 4.7, -3.14
0.4, 4.36, 4.6, -3.14
0.5, 4.36, 4.5, -3.14
0.6, 4.36, 4.4, -3.14
0.7, 4.36, 4.3, -3.14
0.8, 4.36, 4.2, -3.14
0.9, 4.36, 4.1, -3.14
1, 4.36, 4, -3.14
1.1, 4.36, 3.9, -3.14
1.2, 4.36, 3.8, -3.14
1.3, 4.36, 3.7, -3.14
1.4, 4.36, 3.6, -3.14
1.5, 4.36, 3.5, -3.14
1.6, 4.36, 3.4, -3.14
1.7, 4.36, 3.3, -3.14
1.8, 4.36, 3.2, -3.14
1.9, -3.14, 3.1, -3.14
2, -3.14, 3, -3.14
2.1, -3.14, 2.9, -3.14
2.2, -3.14, 2.8, -3.14
2.3, -3.14, 2.7, -3.14
2.4, -3.14, 2.6, -3.14
2.5, -3.14, 2.5, -3.14
2.6, -3.14, 2.4, -3.14
2.7, -3.14, 2.3, -3.14
2.8, -3.14, 2.2, -3.14
2.9, -3.14, 2.1, -3.14
3, -3.14, 2, -3.14
3.1, -3.14, 1.9, -3.14
3.2, -3.14, 1.8, -3.14
3.3, -3.14, 1.7, -3.14
3.4, -3.14, 1.6, -3.14
3.5, -3.14, 1.5, -3.14
3.6, -3.14, 1.4, -3.14
3.7, -3.14, 1.3, -3.14
3.8, -3.14, 1.2, 4.36
3.9, -3.14, 1.1, 4.36
4, -3.14, 1, 4.36
4.1, -3.14, 0.9, 4.36
4.2, -3.14, 0.8, 4.36
4.3, -3.14, 0.7, 4.36
4.4, -3.14, 0.6, 4.36
4.5, -3.14, 0.5, 4.36
4.6, -3.14, 0.4, 4.36
4.7, -3.14, 0.3, 4.36
4.8, -3.14, 0.2, 4.36
4.9, -3.14, 0.1, 4.36
5, -3.14, 0, 4.36
