Lifetime,tau
615.55,349.22597051850965
651.1,339.3261421575201
658.94,336.7844919289606
646.23,342.15317082993744
659.2,338.7311633208158
616.85,338.59665079366556
602.06,370.3107436502606
651.77,354.64189984771696
728.03,646.2717787084763
393.58,401.70508153533325
595.66,537.7916179
611.91,551.0745538602134
449.62,435.0456026076856
720.79,630.7410588293947
566.13,529.4676576273307
363.93,321.1019513996491
631.08,576.0547952040835
702.1,620.7593406
3071.6,1408.4516459541242
2801.9,1521.9204841835542
2632.5,1558.016991664467
2516.5,1127.0879310056866
2252.7,1228.042013978035
2512.1,1126.2217767448917
2378.1,1196.6361478523868
2484.2,1148.9672413749222
540.32,444.2509822262867
632.25,343.3644039929111
634.89,340.4205393625595
638.93,337.79301635253336
642.98,335.7470508410854
640.46,333.0558121733455
564.81,423.28781556641735
641.73,332.98363142729653
591.72,399.5654841306381
610.28,374.14729292473663
498.76,475.2112335775582
627.27,355.0360656225791
631.51,346.8398997522111
558.69,373.04212678928667
546.71,239.76852955567975
593.66,345.46953701997353
547.25,239.50192006176522
632.65,314.46379742291674
607.07,283.4531684934809
582.29,263.37457782817415
556.59,247.32629500765148
