file,tau,A,t0,n,O,r2,Lifetime,Evaluation,Delta,Pretrigger,Autocursor,Timecursor,Average,Amplitude,Microwave,Laserpower,Voltage,Offset,Timebase
dc-level.trn,466132.54336306266,2.8131438077957633e-09,1044.3959547988197,4.962878767485651,-0.3092673679063461,-1.3740342197365862e-11,757.97 us,Sl/1024,10000 ns,2200 us,1,13870 us,1,3.1 mV,10.147 GHz,150 E11,1000 mV,852.12 mV,20000 us
first\100.trn,594.7645331792766,529.8229390898032,67.82670803278428,0.34753791912043264,0.8399999999999259,0.9998877933478622,615.55 us,Sl/1024,10000 ns,2200 us,1,40 us,8,-140.2 mV,10.147 GHz,100 E11,1000 mV,852.12 mV,20000 us
first\120.trn,589.0571080951447,558.4748133644138,68.76143012651235,0.366742927740409,0.5400000000001962,0.9998751153341523,651.1 us,Sl/1024,10000 ns,2200 us,1,30 us,8,-154.4 mV,10.147 GHz,121 E11,1000 mV,852.12 mV,20000 us
first\130.trn,611.0069843333234,552.4169087104136,75.73258717959695,0.39889693576616797,-0.4500000000002728,0.9999033215480838,658.94 us,Sl/1024,10000 ns,2200 us,1,30 us,8,-153 mV,10.147 GHz,130 E11,1000 mV,852.12 mV,20000 us
first\140.trn,604.5199432424315,505.3845046637114,67.99651733532151,0.37126442484959604,1.6500000000002348,0.9998482366511178,646.23 us,Sl/1024,10000 ns,2200 us,1,30 us,8,-140 mV,10.147 GHz,140 E11,1000 mV,852.12 mV,20000 us
first\145.trn,618.1076902492763,538.0312415700688,70.70637004519413,0.3919382858032054,-0.9299999999994841,0.9998625148054849,659.2 us,Sl/1024,10000 ns,2200 us,1,30 us,8,-148.7 mV,10.147 GHz,145 E11,1000 mV,852.12 mV,20000 us
first\150.trn,555.5163671117498,540.7617055041977,52.5704351612541,0.317292098107822,1.8300000000010135,0.9998208910047471,616.85 us,Sl/1024,10000 ns,2200 us,1,30 us,8,-149 mV,10.147 GHz,150 E11,1000 mV,852.12 mV,20000 us
first\60.trn,553.1899896270493,426.1552185100883,68.50597661899386,0.2831711636871994,2.2200000000000277,0.9997883024260062,602.06 us,Sl/1024,10000 ns,2200 us,1,50 us,8,-111.9 mV,10.147 GHz,60 E11,1000 mV,852.12 mV,20000 us
first\80.trn,561.8467896929482,488.58495895047736,70.86506297160841,0.32533369121019584,1.4700000000000275,0.999817139183201,651.77 us,Sl/1024,10000 ns,2200 us,1,40 us,8,-131.4 mV,10.147 GHz,81 E11,1000 mV,852.12 mV,20000 us
kx77\thickest2.trn,696.0975879838714,1424.438000955755,31.023375711493404,0.04265786956670376,1.4700000000000275,0.9997747617636356,728.03 us,Sl/1024,40000 ns,8800 us,1,80 us,256,-403.4 mV,10.455 GHz,149 E11,1000 mV,852.12 mV,80000 us
kx77\thickest3.trn,563.5770776730499,1384.9242937575564,16.227701691553293,0.02530051360898299,1.619999999999891,0.999770529640425,595.66 us,Sl/1024,40000 ns,8800 us,1,40 us,256,-420.1 mV,10.455 GHz,150 E11,1000 mV,852.12 mV,80000 us
kx77\thickest4.trn,579.2135772716491,1332.5527791058598,17.94861026751575,0.026866716208371118,1.4400000000000548,0.9997725185324353,611.91 us,Sl/1024,40000 ns,8800 us,1,40 us,256,-405 mV,10.455 GHz,149 E11,1000 mV,852.12 mV,80000 us
kx77\thickest1\10.trn,437.34386730792033,79.92000001084035,4.225249461315668e-06,0.001207731475866768,0.330000000000041,0.9998206643572767,449.62 us,Sl/1024,40000 ns,8800 us,1,40 us,256,-24 mV,10.455 GHz,140 E10,1000 mV,852.12 mV,80000 us
kx77\thickest1\100.trn,700.7122376001882,1425.0847542176532,34.92411196183433,0.06243011846688603,0.9900000000001229,0.9997581759272125,720.79 us,Sl/1024,20000 ns,4400 us,1,100 us,256,-380.2 mV,10.25 GHz,150 E11,1000 mV,852.12 mV,40000 us
kx77\thickest1\15.trn,542.7726428941264,273.64951968803626,5.269777146329286,0.011173411121000806,0.2100000000001501,0.9998142231289991,566.13 us,Sl/1024,40000 ns,8800 us,1,40 us,256,-83.3 mV,10.455 GHz,29 E11,1000 mV,852.12 mV,80000 us
kx77\thickest1\150.trn,347.8674618185111,1305.0927912185837,17.4040823546579,0.04548910609493913,0.2100000000001501,0.9997945824578519,363.93 us,Sl/1024,20000 ns,4400 us,1,40 us,256,-369.3 mV,10.455 GHz,150 E11,1000 mV,852.12 mV,40000 us
kx77\thickest1\30.trn,600.3191841621757,505.63854164953773,14.66109657075187,0.021071390437230872,0.41999999999995913,0.9997858855322426,631.08 us,Sl/1024,40000 ns,8800 us,1,40 us,256,-154.6 mV,10.455 GHz,49 E11,1000 mV,852.12 mV,80000 us
kx77\thickest1\50.trn,664.0142410675934,968.7201518212783,28.597615408991636,0.037470756714825054,0.6000000000001365,0.9997896762229163,702.1 us,Sl/1024,40000 ns,8800 us,1,40 us,256,-296.3 mV,10.455 GHz,100 E11,1000 mV,852.12 mV,80000 us
kx78\thickest2.trn,2697.7364199984363,1055.360823444518,290.5562724381515,0.42208514128679303,3.690000000000055,0.9999319127036217,3071.6 us,Sl/1024,40000 ns,8800 us,1,120 us,256,-292.2 mV,10.455 GHz,150 E11,1000 mV,852.12 mV,80000 us
kx78\thickest3.trn,2572.145694292876,1141.3616707914734,237.81687360049045,0.3300935992137775,3.4800000000002522,0.9998922133528431,2801.9 us,Sl/1024,40000 ns,8800 us,1,120 us,256,-319.2 mV,10.455 GHz,149 E11,1000 mV,852.12 mV,80000 us
kx78\thickest4.trn,2424.5510579707666,942.1272918195536,214.3023140975944,0.27989207399679666,3.360000000000014,0.9998777640386759,2632.5 us,Sl/1024,40000 ns,8800 us,1,120 us,256,-265.7 mV,10.455 GHz,150 E11,1000 mV,852.12 mV,80000 us
kx78\thickest1\100.trn,2124.8056648433767,991.3447895169331,220.99051448983286,0.41228521537684837,4.770000000000108,0.9999197880216564,2516.5 us,Sl/1024,20000 ns,4400 us,1,120 us,256,-262.9 mV,10.25 GHz,150 E11,1000 mV,852.12 mV,40000 us
kx78\thickest1\15.trn,1637.0942261859964,308.80172889659224,163.5346430906475,0.2294252366418728,4.8600000000000145,0.9997347598945948,2252.7 us,Sl/1024,20000 ns,4400 us,1,180 us,256,-79.7 mV,10.25 GHz,29 E11,1000 mV,852.12 mV,40000 us
kx78\thickest1\150.trn,2119.332303816517,992.2684356746263,220.01379745366071,0.41107956481324864,4.679999999999919,0.9999174655219628,2512.1 us,Sl/1024,20000 ns,4400 us,1,120 us,256,-263 mV,10.25 GHz,150 E11,1000 mV,852.12 mV,40000 us
kx78\thickest1\30.trn,1810.1830197417141,496.1928991546714,196.23895335822584,0.2999091336376756,5.100000000000143,0.9998216598209707,2378.1 us,Sl/1024,20000 ns,4400 us,1,160 us,256,-128.7 mV,10.25 GHz,49 E11,1000 mV,852.12 mV,40000 us
kx78\thickest1\50.trn,2018.714954848255,793.6746966104623,218.11196347336374,0.3793244313620192,4.9500000000002835,0.9998935959127412,2484.2 us,Sl/1024,20000 ns,4400 us,1,140 us,256,-206.4 mV,10.25 GHz,98 E11,1000 mV,852.12 mV,40000 us
