Profile 1;Profile 1;
x;y;
[m];[m];
0;-6.7764795e-11;
9.6400344e-10;-7.0340329e-11;
1.9280069e-09;-6.7503429e-11;
2.8920103e-09;-6.3775626e-11;
3.8560138e-09;-6.9729157e-11;
4.8200172e-09;-7.2008701e-11;
5.7840207e-09;-6.8209705e-11;
6.7480241e-09;-6.9243368e-11;
7.7120275e-09;-6.7094285e-11;
8.676031e-09;-6.9319484e-11;
9.6400344e-09;-7.8728169e-11;
1.0604038e-08;-6.2643902e-11;
1.1568041e-08;-6.5172323e-11;
1.2532045e-08;-7.054472e-11;
1.3496048e-08;-6.0874212e-11;
1.4460052e-08;-6.6574285e-11;
1.5424055e-08;-5.7443104e-11;
1.6388059e-08;-6.1577024e-11;
1.7352062e-08;-6.1709934e-11;
1.8316065e-08;-6.0620476e-11;
1.9280069e-08;-5.5845649e-11;
2.0244072e-08;-4.5900633e-11;
2.1208076e-08;-5.5639605e-11;
2.2172079e-08;-5.144145e-11;
2.3136083e-08;-3.9890667e-11;
2.4100086e-08;-4.7359927e-11;
2.506409e-08;-3.1801989e-11;
2.6028093e-08;-7.0606513e-11;
2.6992096e-08;-6.8688531e-11;
2.79561e-08;-1.0298315e-10;
2.8920103e-08;-9.7220157e-11;
2.9884107e-08;1.2798771e-10;
3.084811e-08;1.7538099e-10;
3.1812114e-08;2.0356326e-10;
3.2776117e-08;2.3332007e-10;
3.3740121e-08;2.2861312e-10;
3.4704124e-08;2.0999269e-10;
3.5668127e-08;2.2814586e-10;
3.6632131e-08;2.106437e-10;
3.7596134e-08;2.2175624e-10;
3.8560138e-08;2.1514279e-10;
3.9524141e-08;2.1264386e-10;
4.0488145e-08;2.080933e-10;
4.1452148e-08;1.9803643e-10;
4.2416152e-08;2.1910651e-10;
4.3380155e-08;2.0006296e-10;
4.4344158e-08;1.9077801e-10;
4.5308162e-08;1.9092913e-10;
4.6272165e-08;1.9758345e-10;
4.7236169e-08;2.0020163e-10;
4.8200172e-08;1.9452226e-10;
4.9164176e-08;1.8525026e-10;
5.0128179e-08;1.8173747e-10;
5.1092183e-08;1.7577258e-10;
5.2056186e-08;1.5563185e-10;
5.3020189e-08;1.5551823e-10;
5.3984193e-08;1.4739297e-10;
5.4948196e-08;1.5010979e-10;
5.59122e-08;1.4863564e-10;
5.6876203e-08;1.4341615e-10;
5.7840207e-08;1.3461991e-10;
