Time,X(CH1),
Second,Volt,
-8.1712002e-05,-0.00000e+00,
-8.1702005e-05,-0.00000e+00,
-8.1692007e-05,-0.00000e+00,
-8.1682010e-05,-0.00000e+00,
-8.1672013e-05,-0.00000e+00,
-8.1662016e-05,-0.00000e+00,
-8.1652019e-05,-0.00000e+00,
-8.1642022e-05,-0.00000e+00,
-8.1632024e-05,-0.00000e+00,
-8.1622027e-05,-0.00000e+00,
-8.1612030e-05,-0.00000e+00,
-8.1602033e-05,-0.00000e+00,
-8.1592036e-05,-0.00000e+00,
-8.1582039e-05,-0.00000e+00,
-8.1572041e-05,-0.00000e+00,
-8.1562044e-05,-0.00000e+00,
-8.1552047e-05,-0.00000e+00,
-8.1542050e-05,-0.00000e+00,
-8.1532053e-05,-0.00000e+00,
-8.1522056e-05,-0.00000e+00,
-8.1512058e-05,-0.00000e+00,
-8.1502061e-05,-0.00000e+00,
-8.1492064e-05,-0.00000e+00,
-8.1482067e-05,-0.00000e+00,
-8.1472070e-05,-0.00000e+00,
-8.1462073e-05,-0.00000e+00,
-8.1452075e-05,-0.00000e+00,
-8.1442078e-05,-0.00000e+00,
-8.1432081e-05,-0.00000e+00,
-8.1422084e-05,-0.00000e+00,
-8.1412087e-05,-0.00000e+00,
-8.1402090e-05,-0.00000e+00,
-8.1392092e-05,-0.00000e+00,
-8.1382095e-05,-0.00000e+00,
-8.1372098e-05,2.00001e-01,
-8.1362101e-05,-0.00000e+00,
-8.1352104e-05,-0.00000e+00,
-8.1342107e-05,-0.00000e+00,
-8.1332109e-05,-0.00000e+00,
-8.1322112e-05,-0.00000e+00,
-8.1312115e-05,-0.00000e+00,
-8.1302118e-05,2.00001e-01,
-8.1292121e-05,-0.00000e+00,
-8.1282124e-05,-0.00000e+00,
-8.1272126e-05,-0.00000e+00,
-8.1262129e-05,-0.00000e+00,
-8.1252132e-05,2.00001e-01,
-8.1242135e-05,-0.00000e+00,
-8.1232138e-05,-0.00000e+00,
-8.1222141e-05,-0.00000e+00,
-8.1212143e-05,-0.00000e+00,
-8.1202146e-05,2.00001e-01,
-8.1192149e-05,2.00001e-01,
-8.1182152e-05,-0.00000e+00,
-8.1172155e-05,-0.00000e+00,
-8.1162158e-05,-0.00000e+00,
-8.1152160e-05,-0.00000e+00,
-8.1142163e-05,2.00001e-01,
-8.1132166e-05,2.00001e-01,
-8.1122169e-05,-0.00000e+00,
-8.1112172e-05,-0.00000e+00,
-8.1102175e-05,2.00001e-01,
-8.1092177e-05,-0.00000e+00,
-8.1082180e-05,-0.00000e+00,
-8.1072183e-05,-0.00000e+00,
-8.1062186e-05,-0.00000e+00,
-8.1052189e-05,2.00001e-01,
-8.1042192e-05,-0.00000e+00,
-8.1032194e-05,2.00001e-01,
-8.1022197e-05,-0.00000e+00,
-8.1012200e-05,-0.00000e+00,
-8.1002203e-05,2.00001e-01,
-8.0992206e-05,-0.00000e+00,
-8.0982209e-05,2.00001e-01,
-8.0972211e-05,-0.00000e+00,
-8.0962214e-05,-0.00000e+00,
-8.0952217e-05,-0.00000e+00,
-8.0942220e-05,-0.00000e+00,
-8.0932223e-05,-0.00000e+00,
-8.0922226e-05,-0.00000e+00,
-8.0912228e-05,-0.00000e+00,
-8.0902231e-05,-0.00000e+00,
-8.0892234e-05,2.00001e-01,
-8.0882237e-05,-0.00000e+00,
-8.0872240e-05,2.00001e-01,
-8.0862243e-05,2.00001e-01,
-8.0852245e-05,-0.00000e+00,
-8.0842248e-05,2.00001e-01,
-8.0832251e-05,-0.00000e+00,
-8.0822254e-05,-0.00000e+00,
-8.0812257e-05,-0.00000e+00,
-8.0802260e-05,2.00001e-01,
-8.0792262e-05,2.00001e-01,
-8.0782265e-05,2.00001e-01,
-8.0772268e-05,-0.00000e+00,
-8.0762271e-05,-0.00000e+00,
-8.0752274e-05,-0.00000e+00,
-8.0742277e-05,-0.00000e+00,
-8.0732279e-05,-0.00000e+00,
-8.0722282e-05,-0.00000e+00,
-8.0712285e-05,-0.00000e+00,
-8.0702288e-05,-0.00000e+00,
-8.0692291e-05,-0.00000e+00,
-8.0682294e-05,2.00001e-01,
-8.0672296e-05,-0.00000e+00,
-8.0662299e-05,-0.00000e+00,
-8.0652302e-05,-0.00000e+00,
-8.0642305e-05,-0.00000e+00,
-8.0632308e-05,-0.00000e+00,
-8.0622311e-05,-0.00000e+00,
-8.0612313e-05,-0.00000e+00,
-8.0602316e-05,-0.00000e+00,
-8.0592319e-05,-0.00000e+00,
-8.0582322e-05,-0.00000e+00,
-8.0572325e-05,-0.00000e+00,
-8.0562328e-05,2.00001e-01,
-8.0552330e-05,-0.00000e+00,
-8.0542333e-05,-0.00000e+00,
-8.0532336e-05,-0.00000e+00,
-8.0522339e-05,-0.00000e+00,
-8.0512342e-05,2.00001e-01,
-8.0502345e-05,-0.00000e+00,
-8.0492347e-05,-0.00000e+00,
-8.0482350e-05,2.00001e-01,
-8.0472353e-05,2.00001e-01,
-8.0462356e-05,-0.00000e+00,
-8.0452359e-05,-0.00000e+00,
-8.0442362e-05,-0.00000e+00,
-8.0432364e-05,-0.00000e+00,
-8.0422367e-05,-0.00000e+00,
-8.0412370e-05,-0.00000e+00,
-8.0402373e-05,-0.00000e+00,
-8.0392376e-05,-0.00000e+00,
-8.0382379e-05,-0.00000e+00,
-8.0372381e-05,-0.00000e+00,
-8.0362384e-05,2.00001e-01,
-8.0352387e-05,-0.00000e+00,
-8.0342390e-05,-0.00000e+00,
-8.0332393e-05,-0.00000e+00,
-8.0322396e-05,2.00001e-01,
-8.0312398e-05,2.00001e-01,
-8.0302401e-05,-0.00000e+00,
-8.0292404e-05,-0.00000e+00,
-8.0282407e-05,-0.00000e+00,
-8.0272410e-05,2.00001e-01,
-8.0262413e-05,-0.00000e+00,
-8.0252416e-05,2.00001e-01,
-8.0242418e-05,-0.00000e+00,
-8.0232421e-05,-0.00000e+00,
-8.0222424e-05,2.00001e-01,
-8.0212427e-05,2.00001e-01,
-8.0202430e-05,-0.00000e+00,
-8.0192433e-05,2.00001e-01,
-8.0182435e-05,-0.00000e+00,
-8.0172438e-05,2.00001e-01,
-8.0162441e-05,-0.00000e+00,
-8.0152444e-05,-0.00000e+00,
-8.0142447e-05,2.00001e-01,
-8.0132450e-05,2.00001e-01,
-8.0122452e-05,-0.00000e+00,
-8.0112455e-05,-0.00000e+00,
-8.0102458e-05,-0.00000e+00,
-8.0092461e-05,-0.00000e+00,
-8.0082464e-05,-0.00000e+00,
-8.0072467e-05,-0.00000e+00,
