Time,X(CH1),X(CH2),
Second,Volt,Volt,
-1.2000000e+00,2.00001e-01,4.40000e-02,
-1.1997070e+00,2.00001e-01,4.40000e-02,
-1.1994140e+00,2.00001e-01,4.40000e-02,
-1.1991210e+00,2.00001e-01,4.40000e-02,
-1.1988280e+00,2.00001e-01,4.40000e-02,
-1.1985350e+00,2.00001e-01,4.40000e-02,
-1.1982419e+00,2.00001e-01,4.40000e-02,
-1.1979489e+00,2.00001e-01,4.40000e-02,
-1.1976559e+00,2.00001e-01,4.40000e-02,
-1.1973629e+00,2.00001e-01,4.40000e-02,
-1.1970699e+00,2.00001e-01,4.40000e-02,
-1.1967769e+00,2.00001e-01,4.40000e-02,
-1.1964839e+00,2.00001e-01,4.40000e-02,
-1.1961908e+00,2.00001e-01,4.40000e-02,
-1.1958978e+00,2.00001e-01,4.40000e-02,
-1.1956048e+00,-0.00000e+00,4.80000e-02,
-1.1953118e+00,2.00001e-01,4.80000e-02,
-1.1950188e+00,2.00001e-01,4.80000e-02,
-1.1947258e+00,-0.00000e+00,5.20000e-02,
-1.1944327e+00,2.00001e-01,4.80000e-02,
-1.1941397e+00,-0.00000e+00,5.20000e-02,
-1.1938467e+00,-0.00000e+00,5.20000e-02,
-1.1935537e+00,-0.00000e+00,5.20000e-02,
-1.1932607e+00,2.00001e-01,5.40000e-02,
-1.1929677e+00,-0.00000e+00,5.40000e-02,
-1.1926746e+00,-0.00000e+00,5.60000e-02,
-1.1923816e+00,-0.00000e+00,5.60000e-02,
-1.1920886e+00,-0.00000e+00,5.40000e-02,
-1.1917956e+00,-0.00000e+00,5.60000e-02,
-1.1915026e+00,2.00001e-01,5.60000e-02,
-1.1912096e+00,2.00001e-01,5.60000e-02,
-1.1909165e+00,-0.00000e+00,5.60000e-02,
-1.1906235e+00,-0.00000e+00,5.60000e-02,
-1.1903305e+00,2.00001e-01,5.60000e-02,
-1.1900375e+00,-0.00000e+00,5.60000e-02,
-1.1897445e+00,2.00001e-01,5.60000e-02,
-1.1894515e+00,-0.00000e+00,5.60000e-02,
-1.1891584e+00,-0.00000e+00,6.00000e-02,
-1.1888654e+00,2.00001e-01,6.00000e-02,
-1.1885724e+00,-0.00000e+00,6.00000e-02,
-1.1882794e+00,-0.00000e+00,6.20000e-02,
-1.1879864e+00,-0.00000e+00,6.00000e-02,
-1.1876934e+00,-0.00000e+00,6.20000e-02,
-1.1874003e+00,-0.00000e+00,6.20000e-02,
-1.1871073e+00,-0.00000e+00,6.20000e-02,
-1.1868143e+00,-0.00000e+00,5.80000e-02,
-1.1865213e+00,-0.00000e+00,6.20000e-02,
-1.1862283e+00,-0.00000e+00,6.20000e-02,
-1.1859353e+00,-0.00000e+00,6.20000e-02,
-1.1856422e+00,-0.00000e+00,6.20000e-02,
-1.1853492e+00,-0.00000e+00,6.00000e-02,
-1.1850562e+00,-0.00000e+00,6.40000e-02,
-1.1847632e+00,-0.00000e+00,6.00000e-02,
-1.1844702e+00,-0.00000e+00,6.80000e-02,
-1.1841772e+00,2.00001e-01,6.40000e-02,
-1.1838841e+00,-0.00000e+00,6.40000e-02,
-1.1835911e+00,2.00001e-01,6.40000e-02,
-1.1832981e+00,-0.00000e+00,6.40000e-02,
-1.1830051e+00,-0.00000e+00,6.40000e-02,
-1.1827121e+00,-0.00000e+00,6.20000e-02,
-1.1824191e+00,-0.00000e+00,6.40000e-02,
-1.1821260e+00,-0.00000e+00,6.40000e-02,
-1.1818330e+00,-0.00000e+00,6.40000e-02,
