t (s) - HBT Measurement	Start-Stop Historam (events per second) - HBT Measurement
0	4,07133
176,367p	4,65527
352,734p	4,10378
529,101p	4,89858
705,467p	4,70393
881,834p	4,89858
1,0582n	4,93102
1,23457n	4,76881
1,41093n	5,28787
1,5873n	5,51495
1,76367n	5,12566
1,94004n	5,1581
2,1164n	5,5474
2,29277n	5,82314
2,46914n	4,88236
2,6455n	5,45007
2,82187n	5,23921
2,99824n	6,29354
3,1746n	6,47196
3,35097n	7,18566
3,52734n	7,34787
3,7037n	7,18566
3,88007n	8,71038
4,05644n	9,06723
4,2328n	9,66739
4,40917n	11,4354
4,58554n	22,3193
4,7619n	96,2522
4,93827n	29,4077
5,11464n	11,549
5,29101n	10,4135
5,46737n	8,45086
5,64374n	8,54818
5,82011n	7,46141
5,99647n	6,87747
6,17284n	6,69905
6,34921n	6,40708
6,52557n	6,95858
6,70194n	6,14755
6,87831n	5,67716
7,05467n	5,67716
7,23104n	5,92047
7,40741n	5,92047
7,58377n	5,43385
7,76014n	5,33653
7,93651n	4,9148
8,11287n	5,20677
8,28924n	5,077
8,46561n	4,86614
8,64198n	5,01212
8,81834n	4,68771
8,99471n	4,72015
9,17108n	4,72015
9,34744n	4,9148
9,52381n	4,67149
9,70018n	4,4444
9,87654n	4,76881
