tau_ns,R_V,Rstd
20,0.0008077658717391303,7.715644492059528e-05
40,0.0024656776521739133,8.01517504785162e-05
60,0.004080926619565216,7.763768388718285e-05
80,0.00543159897826087,7.851943624711495e-05
100,0.006468201402173915,7.718080871381624e-05
120,0.007111226695652174,7.726010353904464e-05
140,0.007571706369565218,7.798650845174349e-05
160,0.008082117739130437,7.904529031426685e-05
180,0.008285208847826086,7.608545406659761e-05
200,0.008616341217391304,7.73252053139469e-05
220,0.00888021868478261,7.776799557420066e-05
240,0.009056524119565219,7.668233205779972e-05
260,0.00922347925,7.667554026639796e-05
280,0.009347353282608694,7.688208416695605e-05
300,0.009456362413043479,7.779556835946939e-05
320,0.009542483347826087,7.52061036340389e-05
340,0.009489678804347826,7.576265839036245e-05
360,0.009558053163043477,8.248744126232797e-05
380,0.009700731108695652,7.725064073653754e-05
400,0.009794978956521738,7.728300957729452e-05
420,0.009727620597826085,7.589119719948338e-05
440,0.009748601413043479,7.648648083970413e-05
460,0.009728781489130436,7.688742480073713e-05
480,0.009823527010869566,7.687492221424053e-05
500,0.009844321260869567,7.606247851428651e-05
520,0.009819981858695651,7.682614719153401e-05
540,0.009783908086956523,7.621117924352105e-05
560,0.00971205079347826,7.669498477304628e-05
580,0.009655576760869566,7.738548126697326e-05
600,0.009667248739130434,7.66460421290013e-05
620,0.00964767777173913,7.628626410508602e-05
640,0.009606109989130435,7.68353521801076e-05
660,0.009685907695652174,7.733721764141815e-05
680,0.009593629315217391,7.587525925189273e-05
700,0.009668928130434783,7.816140162999621e-05
720,0.009706639760869565,7.855082258797273e-05
740,0.009583159619565216,7.760671699383876e-05
760,0.009712610554347825,7.70873022223567e-05
780,0.009672970891304348,7.832403388036479e-05
800,0.009628231108695652,7.700012918092725e-05
820,0.009752623423913042,7.638301091855002e-05
840,0.009627173804347829,7.747676978298214e-05
860,0.009795061891304347,7.811233045630039e-05
880,0.009788406913043477,7.863925684105976e-05
900,0.009842621239130434,7.678747275949794e-05
920,0.009739645217391305,7.797414765635688e-05
940,0.009731766967391304,7.742829263884307e-05
960,0.009854189673913043,7.815477092145414e-05
980,0.009877306010869563,7.830020157999143e-05
1000,0.00990908825,7.765381841176019e-05
1020,0.009948167836956522,7.796746206720903e-05
1040,0.010003087358695652,7.869079480853903e-05
1060,0.010029935282608695,7.687561543568803e-05
1080,0.009987683391304349,7.894913517602666e-05
1100,0.010095593413043478,7.832476253883031e-05
1120,0.010137803913043477,7.877497443815247e-05
1140,0.010123084793478261,7.753518788035617e-05
1160,0.010110313347826087,7.838599250149381e-05
1180,0.01008329981521739,7.78820081763781e-05
1200,0.010198341630434786,7.774767241416261e-05
1220,0.010258879021739132,7.851694145712849e-05
1240,0.01026543086956522,7.921519199447867e-05
1260,0.010320826739130434,7.748087630967113e-05
1280,0.010226827391304349,7.763266461312429e-05
1300,0.010285686086956522,7.690075375551495e-05
1320,0.010265949239130434,7.783266522864937e-05
1340,0.010372324673913042,7.763421325918061e-05
1360,0.010395171956521738,7.735519806652396e-05
1380,0.010345498152173912,7.560386058019139e-05
1400,0.01051705543478261,7.707020481653815e-05
1420,0.010545313369565218,7.657690820454802e-05
1440,0.010429566086956523,7.822585689439266e-05
1460,0.010460415326086958,7.704489283430912e-05
1480,0.010530780217391305,7.732599752625898e-05
1500,0.010505860434782606,7.598300094376153e-05
1520,0.01053876184782609,7.807757297726626e-05
1540,0.010637259999999999,7.967746974385304e-05
1560,0.01060091652173913,7.815744109661768e-05
1580,0.010647770760869564,7.93126607886635e-05
1600,0.010696159673913044,7.868772500331938e-05
1620,0.01080943956521739,7.7199560864276e-05
1640,0.010776765760869566,7.855588104120667e-05
1660,0.010852541739130434,7.797347087323302e-05
1680,0.010882892934782607,7.608081363486837e-05
1700,0.010824511847826089,7.523621729808501e-05
1720,0.010998453695652173,7.703910305413497e-05
1740,0.010893114347826088,7.537365882149998e-05
1760,0.010984024130434781,7.610437746868469e-05
1780,0.011013961304347827,7.67523826456022e-05
1800,0.01097691304347826,7.701209865055837e-05
1820,0.011016283152173914,7.730016844193005e-05
1840,0.011124193043478258,7.742068122951132e-05
1860,0.01109293,7.778986098290145e-05
1880,0.011097159347826088,7.675648901621543e-05
1900,0.011222588369565219,7.74031202926428e-05
1920,0.011153197934782613,7.731188064021065e-05
1940,0.01117324543478261,7.556199386011013e-05
1960,0.011196340543478263,7.704014359218601e-05
1980,0.011242884456521737,7.551561153545786e-05
2000,0.011300270869565218,7.741580807915261e-05
