tau_ns,R_V,Rstd
20,0.000831315066025641,0.0008003386225081149
25,0.0002933542435897436,8.6354022754245e-05
32,0.000299736556474359,8.70116397279786e-05
41,0.0003109238986538462,9.279461863031513e-05
52,0.000291862545,9.524761748369298e-05
67,0.0002896739846153846,8.724713456503017e-05
86,0.0002855781393589743,8.085620707065632e-05
109,0.00030066578006410254,8.66060740596853e-05
139,0.00030292767570512817,9.607912177674156e-05
178,0.00029363543461538463,9.500377190796747e-05
227,0.0002831449901923077,8.914603642797712e-05
290,0.0002860060641666666,9.733634641169366e-05
370,0.00028482004685897436,8.115920236449262e-05
472,0.0003058132243589743,8.755205278826579e-05
602,0.0002793058000641025,9.1412721623876e-05
768,0.0002735470423717949,8.961145417689617e-05
979,0.0002737182228846154,8.450573315422688e-05
1249,0.00027800980846153845,7.992344651180675e-05
1593,0.0002797582346794872,7.66760967810442e-05
2032,0.00029560399038461543,8.727921344828551e-05
2592,0.0002997121108974359,9.477754857249818e-05
3306,0.00029060325,9.416035849856903e-05
4216,0.00027859662820512815,9.109775351306925e-05
5378,0.0002584838017307693,7.909730651535764e-05
6858,0.0002700258048076923,7.897592488809482e-05
8747,0.00026695694,7.716566739891921e-05
11156,0.0002727768107051282,7.982937368664667e-05
14228,0.000269781252948718,8.620395770181042e-05
18146,0.0002558673137179487,8.618409644187029e-05
23143,0.00026337449230769226,8.505050838922546e-05
29516,0.00025979210275641027,8.114763025440353e-05
37644,0.00026617444237179484,7.71972379795678e-05
48010,0.00027211658884615384,7.849321254435838e-05
61230,0.00026688355641025645,8.328570190647652e-05
78091,0.0002618339358974359,8.751824762372578e-05
99595,0.00025201594461538463,8.307354174407414e-05
127020,0.0002445821269230769,7.618388441728389e-05
161997,0.00025918074679487184,8.151127047727614e-05
206605,0.0002617239546153846,8.059874522302942e-05
263497,0.0002686931506410256,7.786274198330453e-05
336055,0.0002699891312179487,8.192599141356738e-05
428593,0.00026343563499999997,8.424848996221225e-05
546612,0.00024445985262820517,8.36358837584956e-05
697130,0.00025260284423076927,8.740088135989022e-05
889096,0.0002491304623076923,8.65415873370765e-05
1133922,0.00025358099948717943,7.592416563768181e-05
1446164,0.0002602445115384615,7.522906533072665e-05
1844387,0.0002612837487179487,8.266862272883681e-05
2352267,0.0002450834346153846,8.019648631410891e-05
3000000,0.00023790637564102566,7.567201954152198e-05
