tau_ns,R_V,Rstd
20,0.0002508182,0.0
25,0.0002518315,0.0
32,0.0002505202,0.0
41,0.0002508182,0.0
52,0.000251295,0.0
67,0.0002446193,0.0
86,0.0002467651,0.0
109,0.0002512354,0.0
139,0.0002433667,0.0
178,0.0002438435,0.0
227,0.0002457518,0.0
290,0.0002512354,0.0
370,0.0002527852,0.0
472,0.0002485532,0.0
602,0.0002464075,0.0
768,0.0002406845,0.0
979,0.0002404461,0.0
1249,0.0002393732,0.0
1593,0.0002339492,0.0
2032,0.0002359161,0.0
2592,0.000239254,0.0
3306,0.000242115,0.0
4216,0.0002417574,0.0
5378,0.0002391944,0.0
6858,0.0002375254,0.0
8747,0.0002413401,0.0
11156,0.0002346644,0.0
14228,0.0002306113,0.0
18146,0.0002311477,0.0
23143,0.0002336511,0.0
29516,0.0002364526,0.0
37644,0.0002405057,0.0
48010,0.0002384791,0.0
61230,0.0002358565,0.0
78091,0.0002368102,0.0
99595,0.0002362141,0.0
127020,0.0002312073,0.0
161997,0.0002291808,0.0
206605,0.0002316842,0.0
263497,0.0002316842,0.0
336055,0.0002278099,0.0
428593,0.0002326975,0.0
546612,0.0002364526,0.0
697130,0.0002313266,0.0
889096,0.0002231607,0.0
1133922,0.0002211342,0.0
1446164,0.0002270946,0.0
1844387,0.000231565,0.0
2352267,0.0002336511,0.0
3000000,0.0002306113,0.0
