measurement_index,sample_index,Rs_V
0,0,0.0006213225
0,1,0.0006226338
0,2,0.0006245412
0,3,0.0006253757
0,4,0.0006246604
0,5,0.0006229915
0,6,0.0006214418
0,7,0.0006214418
0,8,0.0006223954
0,9,0.0006237067
0,10,0.0006248988
0,11,0.0006257333
0,12,0.0006258525
0,13,0.000625018
0,14,0.0006234683
0,15,0.0006220378
0,16,0.0006210841
0,17,0.0006212033
0,18,0.0006217994
0,19,0.0006231107
0,20,0.0006243028
0,21,0.0006252564
0,22,0.0006257333
0,23,0.0006260909
0,24,0.0006263293
1,0,0.0006233491
1,1,0.0006232299
1,2,0.0006226338
1,3,0.0006219186
1,4,0.0006217994
1,5,0.000621561
1,6,0.0006214418
1,7,0.0006212033
1,8,0.0006210841
1,9,0.0006208457
1,10,0.0006203689
1,11,0.0006200112
1,12,0.0006200112
1,13,0.0006204881
1,14,0.0006213225
1,15,0.0006220378
1,16,0.0006231107
1,17,0.0006239451
1,18,0.0006247796
1,19,0.0006251372
1,20,0.000625018
1,21,0.0006245412
1,22,0.0006234683
1,23,0.0006222762
1,24,0.0006212033
2,0,0.0006235875
2,1,0.0006238259
2,2,0.0006235875
2,3,0.0006229915
2,4,0.0006216802
2,5,0.0006204881
2,6,0.0006194152
2,7,0.000619296
2,8,0.000619892
2,9,0.0006209649
2,10,0.0006220378
2,11,0.0006231107
2,12,0.0006239451
2,13,0.0006241836
2,14,0.0006239451
2,15,0.0006238259
2,16,0.0006237067
2,17,0.0006235875
2,18,0.0006237067
2,19,0.0006239451
2,20,0.0006238259
2,21,0.0006231107
2,22,0.000622157
2,23,0.0006209649
2,24,0.0006200112
3,0,0.0006190576
3,1,0.0006203689
3,2,0.0006216802
3,3,0.0006225146
3,4,0.0006226338
3,5,0.0006220378
3,6,0.0006206073
3,7,0.0006191768
3,8,0.0006182231
3,9,0.0006182231
3,10,0.0006194152
3,11,0.0006213225
3,12,0.0006223954
3,13,0.000622157
3,14,0.0006207265
3,15,0.0006191768
3,16,0.0006184615
3,17,0.0006194152
3,18,0.0006212033
3,19,0.0006225146
3,20,0.0006227531
3,21,0.000622157
3,22,0.0006212033
3,23,0.0006197728
3,24,0.0006185807
4,0,0.0006161965
4,1,0.0006163158
4,2,0.0006169118
4,3,0.0006181039
4,4,0.000619296
4,5,0.0006204881
4,6,0.0006210841
4,7,0.0006214418
4,8,0.0006213225
4,9,0.0006210841
4,10,0.0006202497
4,11,0.0006197728
4,12,0.0006194152
4,13,0.0006189384
4,14,0.0006184615
4,15,0.0006177463
4,16,0.0006173886
4,17,0.000617031
4,18,0.0006165542
4,19,0.0006165542
4,20,0.000616435
4,21,0.0006163158
4,22,0.0006161965
4,23,0.0006163158
4,24,0.0006161965
5,0,0.0006154813
5,1,0.0006153621
5,2,0.0006161965
5,3,0.0006171502
5,4,0.0006182231
5,5,0.0006188191
5,6,0.000619296
5,7,0.0006194152
5,8,0.0006194152
5,9,0.000619296
5,10,0.0006191768
5,11,0.0006188191
5,12,0.0006184615
5,13,0.0006176271
5,14,0.000616435
5,15,0.0006154813
5,16,0.000614766
5,17,0.0006145276
5,18,0.000614766
5,19,0.0006151237
5,20,0.0006153621
5,21,0.0006154813
5,22,0.0006157197
5,23,0.0006159581
5,24,0.000616435
6,0,0.0006173886
6,1,0.0006179847
6,2,0.0006182231
6,3,0.0006185807
6,4,0.0006184615
6,5,0.0006179847
6,6,0.0006171502
6,7,0.0006163158
6,8,0.0006152429
6,9,0.0006144084
6,10,0.0006136931
6,11,0.0006138124
6,12,0.0006142892
6,13,0.0006148852
6,14,0.0006154813
6,15,0.0006158389
6,16,0.0006159581
6,17,0.0006158389
6,18,0.0006157197
6,19,0.0006158389
6,20,0.0006159581
6,21,0.0006157197
6,22,0.0006154813
6,23,0.0006153621
6,24,0.0006152429
7,0,0.0006132163
7,1,0.0006139316
7,2,0.0006145276
7,3,0.0006152429
7,4,0.0006159581
7,5,0.000616435
7,6,0.0006169118
7,7,0.0006173886
7,8,0.0006176271
7,9,0.0006175078
7,10,0.0006176271
7,11,0.0006176271
7,12,0.0006176271
7,13,0.0006175078
7,14,0.0006173886
7,15,0.0006173886
7,16,0.0006175078
7,17,0.0006175078
7,18,0.0006175078
7,19,0.0006173886
7,20,0.0006173886
7,21,0.0006173886
7,22,0.0006175078
7,23,0.0006173886
7,24,0.0006173886
8,0,0.0006158389
8,1,0.0006154813
8,2,0.000614766
8,3,0.0006134547
8,4,0.0006122626
8,5,0.0006114282
8,6,0.0006110705
8,7,0.0006115474
8,8,0.0006123818
8,9,0.0006136931
8,10,0.0006146468
8,11,0.0006154813
8,12,0.0006158389
8,13,0.0006154813
8,14,0.0006144084
8,15,0.0006129779
8,16,0.0006120242
8,17,0.0006111898
8,18,0.0006109513
8,19,0.0006108321
8,20,0.0006107129
8,21,0.0006107129
8,22,0.0006107129
8,23,0.0006108321
8,24,0.0006108321
9,0,0.0006134547
9,1,0.0006134547
9,2,0.0006132163
9,3,0.0006130971
9,4,0.0006132163
9,5,0.0006134547
9,6,0.0006138124
9,7,0.00061417
9,8,0.0006144084
9,9,0.0006145276
9,10,0.0006145276
9,11,0.00061417
9,12,0.0006140508
9,13,0.0006138124
9,14,0.0006135739
9,15,0.0006128587
9,16,0.0006122626
9,17,0.0006115474
9,18,0.0006109513
9,19,0.0006103553
9,20,0.0006099977
9,21,0.00060964
9,22,0.0006091632
9,23,0.000609044
9,24,0.0006091632
10,0,0.0006103553
10,1,0.000609044
10,2,0.0006085671
10,3,0.0006097592
10,4,0.0006114282
10,5,0.0006127395
10,6,0.0006123818
10,7,0.0006108321
10,8,0.000609044
10,9,0.0006088056
10,10,0.0006099977
10,11,0.000611905
10,12,0.0006127395
10,13,0.000611905
10,14,0.0006102361
10,15,0.0006088056
10,16,0.0006092824
10,17,0.0006109513
10,18,0.0006126203
10,19,0.0006125011
10,20,0.0006111898
10,21,0.0006095208
10,22,0.0006084479
10,23,0.0006089248
10,24,0.0006102361
11,0,0.0006078519
11,1,0.0006073751
11,2,0.0006084479
11,3,0.0006101169
11,4,0.000611309
11,5,0.0006117858
11,6,0.0006115474
11,7,0.0006107129
11,8,0.00060964
11,9,0.0006080903
11,10,0.0006071366
11,11,0.0006066598
11,12,0.0006068982
11,13,0.0006078519
11,14,0.0006086864
11,15,0.00060964
11,16,0.0006104745
11,17,0.0006109513
11,18,0.0006114282
11,19,0.0006117858
11,20,0.0006120242
11,21,0.0006122626
11,22,0.0006123818
11,23,0.0006122626
11,24,0.0006120242
12,0,0.00060964
12,1,0.0006097592
12,2,0.0006098785
12,3,0.00060964
12,4,0.0006095208
12,5,0.0006091632
12,6,0.0006088056
12,7,0.0006083287
12,8,0.0006074943
12,9,0.0006068982
12,10,0.0006065406
12,11,0.0006063022
12,12,0.0006063022
12,13,0.0006064214
12,14,0.0006065406
12,15,0.0006064214
12,16,0.0006063022
12,17,0.000606183
12,18,0.000606183
12,19,0.0006058253
12,20,0.0006057061
12,21,0.0006058253
12,22,0.0006060638
12,23,0.0006060638
12,24,0.0006060638
13,0,0.0006049909
13,1,0.0006047525
13,2,0.0006046332
13,3,0.0006047525
13,4,0.0006052293
13,5,0.0006055869
13,6,0.0006063022
13,7,0.0006074943
13,8,0.0006085671
13,9,0.0006092824
13,10,0.0006095208
13,11,0.0006095208
13,12,0.000609044
13,13,0.0006085671
13,14,0.0006078519
13,15,0.0006068982
13,16,0.0006064214
13,17,0.0006060638
13,18,0.0006059445
13,19,0.0006059445
13,20,0.0006060638
13,21,0.000606183
13,22,0.0006058253
13,23,0.0006053485
13,24,0.0006047525
14,0,0.0006041564
14,1,0.0006034411
14,2,0.0006030835
14,3,0.0006029643
14,4,0.0006034411
14,5,0.0006043948
14,6,0.0006057061
14,7,0.0006070174
14,8,0.0006078519
14,9,0.0006080903
14,10,0.0006074943
14,11,0.0006063022
14,12,0.0006049909
14,13,0.0006036796
14,14,0.0006029643
14,15,0.0006028451
14,16,0.0006036796
14,17,0.0006049909
14,18,0.0006060638
14,19,0.0006070174
14,20,0.0006076135
14,21,0.0006079711
14,22,0.0006080903
14,23,0.0006082095
14,24,0.0006078519
15,0,0.0006057061
15,1,0.0006059445
15,2,0.000606183
15,3,0.0006063022
15,4,0.000606183
15,5,0.0006063022
15,6,0.0006064214
15,7,0.0006065406
15,8,0.0006065406
15,9,0.0006064214
15,10,0.0006059445
15,11,0.0006049909
15,12,0.0006035604
15,13,0.0006023683
15,14,0.0006014146
15,15,0.0006009378
15,16,0.0006008185
15,17,0.000601057
15,18,0.0006014146
15,19,0.0006020106
15,20,0.0006029643
15,21,0.0006041564
15,22,0.0006054677
15,23,0.0006063022
15,24,0.0006063022
16,0,0.0006009378
16,1,0.0006012954
16,2,0.000601653
16,3,0.0006017722
16,4,0.0006017722
16,5,0.000601653
16,6,0.0006014146
16,7,0.0006011762
16,8,0.0006009378
16,9,0.0006009378
16,10,0.0006008185
16,11,0.0006006993
16,12,0.0006002225
16,13,0.0005999841
16,14,0.0006002225
16,15,0.0006002225
16,16,0.0006001033
16,17,0.0005999841
16,18,0.0005998649
16,19,0.0005999841
16,20,0.0006001033
16,21,0.0006004609
16,22,0.0006006993
16,23,0.0006008185
16,24,0.0006008185
17,0,0.0005985536
17,1,0.0005995072
17,2,0.0006008185
17,3,0.0006020106
17,4,0.0006028451
17,5,0.0006030835
17,6,0.0006030835
17,7,0.0006023683
17,8,0.0006014146
17,9,0.0006002225
17,10,0.0005991496
17,11,0.0005983151
17,12,0.0005984344
17,13,0.0005997457
17,14,0.0006015338
17,15,0.0006023683
17,16,0.0006011762
17,17,0.000599388
17,18,0.0005992688
17,19,0.000601057
17,20,0.0006021298
17,21,0.0006008185
17,22,0.0005995072
17,23,0.0006004609
17,24,0.0006021298
18,0,0.0006014146
18,1,0.0006008185
18,2,0.0005990304
18,3,0.0005981959
18,4,0.0005991496
18,5,0.0006009378
18,6,0.000601653
18,7,0.0006008185
18,8,0.0005991496
18,9,0.0005978383
18,10,0.0005978383
18,11,0.0005990304
18,12,0.0006005801
18,13,0.0006017722
18,14,0.0006014146
18,15,0.0005996265
18,16,0.0005981959
18,17,0.0005985536
18,18,0.0006003417
18,19,0.0006008185
18,20,0.0005992688
18,21,0.0005977191
18,22,0.0005981959
18,23,0.0006001033
18,24,0.000601057
19,0,0.0005958118
19,1,0.0005972423
19,2,0.0005991496
19,3,0.0005997457
19,4,0.0005990304
19,5,0.0005974807
19,6,0.0005960502
19,7,0.0005956925
19,8,0.0005961694
19,9,0.0005975999
19,10,0.0005991496
19,11,0.0005989112
19,12,0.0005972423
19,13,0.0005955733
19,14,0.0005950965
19,15,0.0005958118
19,16,0.0005974807
19,17,0.0005990304
19,18,0.0005991496
19,19,0.0005979575
19,20,0.0005962886
19,21,0.0005950965
19,22,0.0005955733
19,23,0.0005973615
19,24,0.000598792
20,0,0.0005929507
20,1,0.0005945005
20,2,0.0005960502
20,3,0.0005968846
20,4,0.000596527
20,5,0.0005953349
20,6,0.0005941428
20,7,0.0005929507
20,8,0.0005921163
20,9,0.0005917586
20,10,0.0005919971
20,11,0.0005925931
20,12,0.0005934276
20,13,0.0005945005
20,14,0.0005956925
20,15,0.0005966462
20,16,0.0005970038
20,17,0.0005962886
20,18,0.0005948581
20,19,0.0005931892
20,20,0.0005919971
20,21,0.000591401
20,22,0.0005912818
20,23,0.0005916394
20,24,0.0005922355
21,0,0.0005910434
21,1,0.0005900897
21,2,0.0005897321
21,3,0.0005899705
21,4,0.000590805
21,5,0.0005918778
21,6,0.0005929507
21,7,0.000594262
21,8,0.0005947389
21,9,0.0005948581
21,10,0.0005945005
21,11,0.0005935468
21,12,0.0005928315
21,13,0.0005923547
21,14,0.0005919971
21,15,0.0005916394
21,16,0.0005918778
21,17,0.0005919971
21,18,0.0005922355
21,19,0.0005922355
21,20,0.0005921163
21,21,0.0005917586
21,22,0.0005912818
21,23,0.0005910434
21,24,0.0005905665
22,0,0.0005906858
22,1,0.0005893745
22,2,0.0005880632
22,3,0.0005871095
22,4,0.0005863942
22,5,0.0005860366
22,6,0.0005863942
22,7,0.0005869903
22,8,0.0005880632
22,9,0.000589136
22,10,0.0005903281
22,11,0.0005911626
22,12,0.0005916394
22,13,0.0005916394
22,14,0.0005917586
22,15,0.0005917586
22,16,0.0005916394
22,17,0.0005918778
22,18,0.0005921163
22,19,0.0005919971
22,20,0.0005910434
22,21,0.0005902089
22,22,0.0005893745
22,23,0.00058854
22,24,0.0005874671
23,0,0.0005867518
23,1,0.0005863942
23,2,0.000585679
23,3,0.0005850829
23,4,0.0005842485
23,5,0.0005838908
23,6,0.0005835332
23,7,0.0005832948
23,8,0.0005835332
23,9,0.0005836524
23,10,0.0005836524
23,11,0.0005835332
23,12,0.0005835332
23,13,0.0005835332
23,14,0.0005835332
23,15,0.0005837716
23,16,0.0005838908
23,17,0.0005842485
23,18,0.0005846061
23,19,0.0005853213
23,20,0.0005859174
23,21,0.0005866326
23,22,0.0005867518
23,23,0.0005865134
23,24,0.000585679
24,0,0.0005849637
24,1,0.0005850829
24,2,0.0005852021
24,3,0.0005853213
24,4,0.0005854405
24,5,0.0005855598
24,6,0.0005855598
24,7,0.0005852021
24,8,0.0005846061
24,9,0.000583414
24,10,0.0005821027
24,11,0.000580553
24,12,0.0005799569
24,13,0.0005798377
24,14,0.0005799569
24,15,0.0005803145
24,16,0.0005807914
24,17,0.0005812682
24,18,0.0005819835
24,19,0.0005821027
24,20,0.0005824603
24,21,0.0005829372
24,22,0.0005836524
24,23,0.0005844869
24,24,0.0005852021
25,0,0.0005775727
25,1,0.0005774535
25,2,0.0005776919
25,3,0.0005780496
25,4,0.0005785264
25,5,0.0005791225
25,6,0.0005794801
25,7,0.0005798377
25,8,0.0005799569
25,9,0.0005798377
25,10,0.0005793609
25,11,0.0005787648
25,12,0.0005780496
25,13,0.0005774535
25,14,0.0005769767
25,15,0.0005764998
25,16,0.0005761422
25,17,0.0005759038
25,18,0.0005756654
25,19,0.0005755462
25,20,0.000575427
25,21,0.0005755462
25,22,0.0005759038
25,23,0.0005762614
25,24,0.0005764998
26,0,0.0005759038
26,1,0.0005764998
26,2,0.0005764998
26,3,0.0005763806
26,4,0.0005759038
26,5,0.0005753078
26,6,0.0005745925
26,7,0.0005735196
26,8,0.0005726852
26,9,0.0005719699
26,10,0.0005716123
26,11,0.0005718507
26,12,0.0005725659
26,13,0.000573758
26,14,0.0005747117
26,15,0.0005753078
26,16,0.0005756654
26,17,0.0005759038
26,18,0.0005761422
