measurement_index,Rs_000,Rs_001,Rs_002,Rs_003,Rs_004,Rs_005,Rs_006,Rs_007,Rs_008,Rs_009,Rs_010,Rs_011,Rs_012,Rs_013,Rs_014,Rs_015,Rs_016,Rs_017,Rs_018,Rs_019,Rs_020,Rs_021,Rs_022,Rs_023,Rs_024
0,0.0006213225,0.0006226338,0.0006245412,0.0006253757,0.0006246604,0.0006229915,0.0006214418,0.0006214418,0.0006223954,0.0006237067,0.0006248988,0.0006257333,0.0006258525,0.000625018,0.0006234683,0.0006220378,0.0006210841,0.0006212033,0.0006217994,0.0006231107,0.0006243028,0.0006252564,0.0006257333,0.0006260909,0.0006263293
1,0.0006233491,0.0006232299,0.0006226338,0.0006219186,0.0006217994,0.000621561,0.0006214418,0.0006212033,0.0006210841,0.0006208457,0.0006203689,0.0006200112,0.0006200112,0.0006204881,0.0006213225,0.0006220378,0.0006231107,0.0006239451,0.0006247796,0.0006251372,0.000625018,0.0006245412,0.0006234683,0.0006222762,0.0006212033
2,0.0006235875,0.0006238259,0.0006235875,0.0006229915,0.0006216802,0.0006204881,0.0006194152,0.000619296,0.000619892,0.0006209649,0.0006220378,0.0006231107,0.0006239451,0.0006241836,0.0006239451,0.0006238259,0.0006237067,0.0006235875,0.0006237067,0.0006239451,0.0006238259,0.0006231107,0.000622157,0.0006209649,0.0006200112
3,0.0006190576,0.0006203689,0.0006216802,0.0006225146,0.0006226338,0.0006220378,0.0006206073,0.0006191768,0.0006182231,0.0006182231,0.0006194152,0.0006213225,0.0006223954,0.000622157,0.0006207265,0.0006191768,0.0006184615,0.0006194152,0.0006212033,0.0006225146,0.0006227531,0.000622157,0.0006212033,0.0006197728,0.0006185807
4,0.0006161965,0.0006163158,0.0006169118,0.0006181039,0.000619296,0.0006204881,0.0006210841,0.0006214418,0.0006213225,0.0006210841,0.0006202497,0.0006197728,0.0006194152,0.0006189384,0.0006184615,0.0006177463,0.0006173886,0.000617031,0.0006165542,0.0006165542,0.000616435,0.0006163158,0.0006161965,0.0006163158,0.0006161965
5,0.0006154813,0.0006153621,0.0006161965,0.0006171502,0.0006182231,0.0006188191,0.000619296,0.0006194152,0.0006194152,0.000619296,0.0006191768,0.0006188191,0.0006184615,0.0006176271,0.000616435,0.0006154813,0.000614766,0.0006145276,0.000614766,0.0006151237,0.0006153621,0.0006154813,0.0006157197,0.0006159581,0.000616435
6,0.0006173886,0.0006179847,0.0006182231,0.0006185807,0.0006184615,0.0006179847,0.0006171502,0.0006163158,0.0006152429,0.0006144084,0.0006136931,0.0006138124,0.0006142892,0.0006148852,0.0006154813,0.0006158389,0.0006159581,0.0006158389,0.0006157197,0.0006158389,0.0006159581,0.0006157197,0.0006154813,0.0006153621,0.0006152429
7,0.0006132163,0.0006139316,0.0006145276,0.0006152429,0.0006159581,0.000616435,0.0006169118,0.0006173886,0.0006176271,0.0006175078,0.0006176271,0.0006176271,0.0006176271,0.0006175078,0.0006173886,0.0006173886,0.0006175078,0.0006175078,0.0006175078,0.0006173886,0.0006173886,0.0006173886,0.0006175078,0.0006173886,0.0006173886
8,0.0006158389,0.0006154813,0.000614766,0.0006134547,0.0006122626,0.0006114282,0.0006110705,0.0006115474,0.0006123818,0.0006136931,0.0006146468,0.0006154813,0.0006158389,0.0006154813,0.0006144084,0.0006129779,0.0006120242,0.0006111898,0.0006109513,0.0006108321,0.0006107129,0.0006107129,0.0006107129,0.0006108321,0.0006108321
9,0.0006134547,0.0006134547,0.0006132163,0.0006130971,0.0006132163,0.0006134547,0.0006138124,0.00061417,0.0006144084,0.0006145276,0.0006145276,0.00061417,0.0006140508,0.0006138124,0.0006135739,0.0006128587,0.0006122626,0.0006115474,0.0006109513,0.0006103553,0.0006099977,0.00060964,0.0006091632,0.000609044,0.0006091632
10,0.0006103553,0.000609044,0.0006085671,0.0006097592,0.0006114282,0.0006127395,0.0006123818,0.0006108321,0.000609044,0.0006088056,0.0006099977,0.000611905,0.0006127395,0.000611905,0.0006102361,0.0006088056,0.0006092824,0.0006109513,0.0006126203,0.0006125011,0.0006111898,0.0006095208,0.0006084479,0.0006089248,0.0006102361
11,0.0006078519,0.0006073751,0.0006084479,0.0006101169,0.000611309,0.0006117858,0.0006115474,0.0006107129,0.00060964,0.0006080903,0.0006071366,0.0006066598,0.0006068982,0.0006078519,0.0006086864,0.00060964,0.0006104745,0.0006109513,0.0006114282,0.0006117858,0.0006120242,0.0006122626,0.0006123818,0.0006122626,0.0006120242
12,0.00060964,0.0006097592,0.0006098785,0.00060964,0.0006095208,0.0006091632,0.0006088056,0.0006083287,0.0006074943,0.0006068982,0.0006065406,0.0006063022,0.0006063022,0.0006064214,0.0006065406,0.0006064214,0.0006063022,0.000606183,0.000606183,0.0006058253,0.0006057061,0.0006058253,0.0006060638,0.0006060638,0.0006060638
13,0.0006049909,0.0006047525,0.0006046332,0.0006047525,0.0006052293,0.0006055869,0.0006063022,0.0006074943,0.0006085671,0.0006092824,0.0006095208,0.0006095208,0.000609044,0.0006085671,0.0006078519,0.0006068982,0.0006064214,0.0006060638,0.0006059445,0.0006059445,0.0006060638,0.000606183,0.0006058253,0.0006053485,0.0006047525
14,0.0006041564,0.0006034411,0.0006030835,0.0006029643,0.0006034411,0.0006043948,0.0006057061,0.0006070174,0.0006078519,0.0006080903,0.0006074943,0.0006063022,0.0006049909,0.0006036796,0.0006029643,0.0006028451,0.0006036796,0.0006049909,0.0006060638,0.0006070174,0.0006076135,0.0006079711,0.0006080903,0.0006082095,0.0006078519
15,0.0006057061,0.0006059445,0.000606183,0.0006063022,0.000606183,0.0006063022,0.0006064214,0.0006065406,0.0006065406,0.0006064214,0.0006059445,0.0006049909,0.0006035604,0.0006023683,0.0006014146,0.0006009378,0.0006008185,0.000601057,0.0006014146,0.0006020106,0.0006029643,0.0006041564,0.0006054677,0.0006063022,0.0006063022
16,0.0006009378,0.0006012954,0.000601653,0.0006017722,0.0006017722,0.000601653,0.0006014146,0.0006011762,0.0006009378,0.0006009378,0.0006008185,0.0006006993,0.0006002225,0.0005999841,0.0006002225,0.0006002225,0.0006001033,0.0005999841,0.0005998649,0.0005999841,0.0006001033,0.0006004609,0.0006006993,0.0006008185,0.0006008185
17,0.0005985536,0.0005995072,0.0006008185,0.0006020106,0.0006028451,0.0006030835,0.0006030835,0.0006023683,0.0006014146,0.0006002225,0.0005991496,0.0005983151,0.0005984344,0.0005997457,0.0006015338,0.0006023683,0.0006011762,0.000599388,0.0005992688,0.000601057,0.0006021298,0.0006008185,0.0005995072,0.0006004609,0.0006021298
18,0.0006014146,0.0006008185,0.0005990304,0.0005981959,0.0005991496,0.0006009378,0.000601653,0.0006008185,0.0005991496,0.0005978383,0.0005978383,0.0005990304,0.0006005801,0.0006017722,0.0006014146,0.0005996265,0.0005981959,0.0005985536,0.0006003417,0.0006008185,0.0005992688,0.0005977191,0.0005981959,0.0006001033,0.000601057
19,0.0005958118,0.0005972423,0.0005991496,0.0005997457,0.0005990304,0.0005974807,0.0005960502,0.0005956925,0.0005961694,0.0005975999,0.0005991496,0.0005989112,0.0005972423,0.0005955733,0.0005950965,0.0005958118,0.0005974807,0.0005990304,0.0005991496,0.0005979575,0.0005962886,0.0005950965,0.0005955733,0.0005973615,0.000598792
20,0.0005929507,0.0005945005,0.0005960502,0.0005968846,0.000596527,0.0005953349,0.0005941428,0.0005929507,0.0005921163,0.0005917586,0.0005919971,0.0005925931,0.0005934276,0.0005945005,0.0005956925,0.0005966462,0.0005970038,0.0005962886,0.0005948581,0.0005931892,0.0005919971,0.000591401,0.0005912818,0.0005916394,0.0005922355
21,0.0005910434,0.0005900897,0.0005897321,0.0005899705,0.000590805,0.0005918778,0.0005929507,0.000594262,0.0005947389,0.0005948581,0.0005945005,0.0005935468,0.0005928315,0.0005923547,0.0005919971,0.0005916394,0.0005918778,0.0005919971,0.0005922355,0.0005922355,0.0005921163,0.0005917586,0.0005912818,0.0005910434,0.0005905665
22,0.0005906858,0.0005893745,0.0005880632,0.0005871095,0.0005863942,0.0005860366,0.0005863942,0.0005869903,0.0005880632,0.000589136,0.0005903281,0.0005911626,0.0005916394,0.0005916394,0.0005917586,0.0005917586,0.0005916394,0.0005918778,0.0005921163,0.0005919971,0.0005910434,0.0005902089,0.0005893745,0.00058854,0.0005874671
