time[s]	CH1[V]	CH2[V] (num. of cycles: 2)
0.000000000000000000e+00	-6.742377030222039824e-01	-5.525890149568256637e-01
1.000000000000000048e-04	-6.742377030222039824e-01	-5.525890149568256637e-01
2.000000000000000096e-04	-5.753607498972039824e-01	-4.793468274568256637e-01
2.999999999999999737e-04	-6.205267655222039824e-01	-5.135265149568256637e-01
4.000000000000000192e-04	-5.240912186472039824e-01	-4.402843274568256637e-01
5.000000000000000104e-04	-5.692572342722039824e-01	-4.744640149568256637e-01
5.999999999999999474e-04	-4.728216873972039824e-01	-4.024425305818256637e-01
6.999999999999999929e-04	-5.192084061472039824e-01	-4.354015149568256637e-01
8.000000000000000383e-04	-4.215521561472039824e-01	-3.633800305818256637e-01
8.999999999999999754e-04	-4.691595780222039824e-01	-4.000011243318256637e-01
1.000000000000000021e-03	-3.702826248972039824e-01	-3.255382337068256637e-01
1.100000000000000066e-03	-4.191107498972039824e-01	-3.597179212068256637e-01
1.199999999999999895e-03	-3.202337967722039824e-01	-2.864757337068256637e-01
1.299999999999999940e-03	-3.678412186472039824e-01	-3.230968274568256637e-01
1.399999999999999986e-03	-2.714056717722039824e-01	-2.486339368318256637e-01
1.500000000000000031e-03	-3.153509842722039824e-01	-2.815929212068256637e-01
1.600000000000000077e-03	-2.189154373972039547e-01	-2.083507337068256637e-01
1.699999999999999905e-03	-2.665228592722039824e-01	-2.449718274568256637e-01
1.799999999999999951e-03	-1.688666092722039547e-01	-1.729503430818256637e-01
1.899999999999999996e-03	-2.128119217722039547e-01	-2.059093274568256637e-01
2.000000000000000042e-03	-1.212591873972039547e-01	-1.338878430818256637e-01
2.099999999999999870e-03	-1.652044998972039547e-01	-1.656261243318256637e-01
2.200000000000000133e-03	-6.998965614720394079e-02	-9.482534308182564986e-02
2.299999999999999961e-03	-1.151556717722039547e-01	-1.290050305818256637e-01
2.399999999999999790e-03	-1.994082802220394773e-02	-5.576284308182566374e-02
2.500000000000000052e-03	-6.510684364720394079e-02	-9.116323370682564986e-02
2.599999999999999881e-03	2.644589072779605227e-02	-1.792104620682565680e-02
2.700000000000000143e-03	-1.505801552220394773e-02	-5.210073370682566374e-02
2.799999999999999972e-03	7.649471885279605921e-02	1.870004754317434320e-02
2.899999999999999800e-03	3.254940635279605227e-02	-1.181753058182565680e-02
3.000000000000000062e-03	1.253228438527960453e-01	5.776254754317433626e-02
3.099999999999999891e-03	8.259823447779604533e-02	2.480356316817434320e-02
3.200000000000000153e-03	1.741509688527960453e-01	9.682504754317435014e-02
3.299999999999999982e-03	1.314263594777960453e-01	6.142465691817433626e-02
3.399999999999999811e-03	2.229790938527960453e-01	1.358875475431743363e-01
3.500000000000000073e-03	1.802544844777960453e-01	9.926645379317435014e-02
3.599999999999999901e-03	2.718072188527960176e-01	1.737293444181743363e-01
3.700000000000000164e-03	2.278619063527960453e-01	1.395496569181743363e-01
3.799999999999999992e-03	3.206353438527960176e-01	2.115711412931743363e-01
3.899999999999999821e-03	2.766900313527960176e-01	1.773914537931743363e-01
4.000000000000000083e-03	3.682427657277960176e-01	2.506336412931743363e-01
4.100000000000000346e-03	3.255181563527960176e-01	2.152332506681743363e-01
4.199999999999999740e-03	4.170708907277960176e-01	2.909168444181743363e-01
4.300000000000000003e-03	3.731255782277960176e-01	2.542957506681743363e-01
4.400000000000000265e-03	4.646783126027960176e-01	3.287586412931743363e-01
4.499999999999999660e-03	4.219537032277960176e-01	2.921375475431743363e-01
4.599999999999999922e-03	5.135064376027960176e-01	3.678211412931743363e-01
4.700000000000000185e-03	4.695611251027960176e-01	3.324207506681743363e-01
4.799999999999999580e-03	5.611138594777960176e-01	4.044422350431743363e-01
4.899999999999999842e-03	5.171685469777960176e-01	3.714832506681743363e-01
5.000000000000000104e-03	6.062798751027960176e-01	4.422840319181743363e-01
