time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-2.165961014597039174e-04	-5.234182257401316374e-01
2.000000000000000164e-05	-2.165961014597039174e-04	-5.234182257401316374e-01
4.000000000000000327e-05	1.544976485402960870e-04	-5.209768194901316374e-01
6.000000000000000152e-05	-1.653265702097039260e-04	-5.429494757401316374e-01
8.000000000000000654e-05	2.057671797902960783e-04	-5.405080694901316374e-01
1.000000000000000048e-04	-9.940860145970392171e-05	-5.624807257401316374e-01
1.200000000000000030e-04	2.838921797902960935e-04	-5.600393194901316374e-01
1.399999999999999877e-04	5.571867290296086825e-06	-5.820119757401316374e-01
1.600000000000000131e-04	3.937554610402960826e-04	-5.795705694901316374e-01
1.800000000000000113e-04	1.154351485402960929e-04	-5.991018194901316374e-01
2.000000000000000096e-04	4.987359297902961217e-04	-5.991018194901316374e-01
2.200000000000000078e-04	2.252984297902960956e-04	-6.186330694901316374e-01
2.400000000000000061e-04	6.110406172902961130e-04	-6.186330694901316374e-01
2.599999999999999772e-04	3.205132735402960718e-04	-6.406057257401315264e-01
2.799999999999999755e-04	7.086968672902959829e-04	-6.381643194901315264e-01
2.999999999999999737e-04	4.132867110402961000e-04	-6.576955694901315264e-01
3.200000000000000262e-04	8.014703047902960653e-04	-6.576955694901315264e-01
3.400000000000000244e-04	5.085015547902961303e-04	-6.772268194901315264e-01
3.600000000000000227e-04	8.625054610402960653e-04	-6.772268194901315264e-01
3.800000000000000209e-04	5.841851485402961433e-04	-6.967580694901315264e-01
4.000000000000000192e-04	9.113335860402960002e-04	-6.943166632401315264e-01
4.200000000000000174e-04	6.403374922902960306e-04	-7.162893194901315264e-01
4.400000000000000157e-04	9.430718672902960826e-04	-7.138479132401315264e-01
4.600000000000000139e-04	6.818413985402960132e-04	-7.358205694901315264e-01
4.800000000000000122e-04	9.674859297902959959e-04	-7.333791632401315264e-01
5.000000000000000104e-04	7.038140547902959785e-04	-7.553518194901315264e-01
5.199999999999999544e-04	9.674859297902959959e-04	-7.529104132401315264e-01
5.400000000000000069e-04	6.989312422902960826e-04	-7.748830694901315264e-01
5.599999999999999509e-04	9.674859297902959959e-04	-7.724416632401315264e-01
5.800000000000000034e-04	6.842828047902960696e-04	-7.919729132401315264e-01
5.999999999999999474e-04	9.479546797902960870e-04	-7.919729132401315264e-01
6.199999999999999999e-04	6.574273360402959916e-04	-8.115041632401315264e-01
6.400000000000000524e-04	9.137749922902960566e-04	-8.115041632401315264e-01
6.599999999999999964e-04	6.378960860402960826e-04	-8.310354132401315264e-01
6.800000000000000488e-04	8.771538985402960783e-04	-8.310354132401315264e-01
6.999999999999999929e-04	6.134820235402960609e-04	-8.481252569901315264e-01
7.200000000000000453e-04	8.454156172902959959e-04	-8.481252569901315264e-01
7.399999999999999894e-04	5.866265547902960913e-04	-8.700979132401315264e-01
7.600000000000000418e-04	8.136773360402960219e-04	-8.676565069901315264e-01
7.799999999999999859e-04	5.377984297902960479e-04	-8.896291632401315264e-01
8.000000000000000383e-04	7.599663985402960826e-04	-8.871877569901315264e-01
8.199999999999999824e-04	4.865288985402961108e-04	-9.067190069901315264e-01
8.400000000000000348e-04	6.989312422902960826e-04	-9.067190069901315264e-01
8.599999999999999789e-04	4.132867110402961000e-04	-9.262502569901315264e-01
8.800000000000000313e-04	6.183648360402960653e-04	-9.262502569901315264e-01
8.999999999999999754e-04	3.351617110402960848e-04	-9.457815069901315264e-01
9.200000000000000278e-04	5.207085860402960870e-04	-9.457815069901315264e-01
9.399999999999999719e-04	2.497124922902961173e-04	-9.653127569901315264e-01
9.600000000000000243e-04	4.181695235402961043e-04	-9.653127569901315264e-01
9.799999999999999684e-04	1.374078047902960989e-04	-9.848440069901315264e-01
1.000000000000000021e-03	3.131890547902961195e-04	-9.824026007401315264e-01
1.020000000000000073e-03	5.571867290296086825e-06	-1.004375256990131415e+00
1.039999999999999909e-03	2.057671797902960783e-04	-1.004375256990131415e+00
1.059999999999999961e-03	-1.091742264597039168e-04	-1.023906506990131415e+00
1.080000000000000014e-03	1.178765547902960951e-04	-1.021465100740131415e+00
1.100000000000000066e-03	-2.068304764597039087e-04	-1.043437756990131415e+00
1.119999999999999902e-03	5.928280479029609048e-05	-1.043437756990131415e+00
1.139999999999999954e-03	-2.458929764597039434e-04	-1.062969006990131415e+00
1.160000000000000007e-03	3.242733604029608696e-05	-1.060527600740131415e+00
1.180000000000000059e-03	-2.605414139597039022e-04	-1.082500256990131415e+00
1.199999999999999895e-03	-4.193757709703913378e-06	-1.080058850740131415e+00
1.219999999999999947e-03	-2.776312577097039174e-04	-1.102031506990131415e+00
1.240000000000000000e-03	-6.034610145970391412e-05	-1.099590100740131415e+00
1.260000000000000052e-03	-3.289007889597039087e-04	-1.121562756990131415e+00
1.280000000000000105e-03	-1.091742264597039168e-04	-1.119121350740131415e+00
1.299999999999999940e-03	-3.801703202097039000e-04	-1.141094006990131415e+00
1.319999999999999993e-03	-1.628851639597039239e-04	-1.138652600740131415e+00
1.340000000000000045e-03	-4.265570389597039412e-04	-1.158183850740131415e+00
1.360000000000000098e-03	-2.068304764597039087e-04	-1.158183850740131415e+00
1.379999999999999933e-03	-4.778265702097039326e-04	-1.177715100740131415e+00
1.399999999999999986e-03	-2.556586014597038979e-04	-1.177715100740131415e+00
1.420000000000000038e-03	-5.144476639597039651e-04	-1.197246350740131415e+00
1.440000000000000091e-03	-2.873968827097039260e-04	-1.197246350740131415e+00
1.459999999999999926e-03	-5.364203202097039304e-04	-1.216777600740131415e+00
1.479999999999999979e-03	-3.142523514597038957e-04	-1.216777600740131415e+00
1.500000000000000031e-03	-5.657171952097039564e-04	-1.233867444490131415e+00
1.520000000000000084e-03	-3.240179764597039044e-04	-1.233867444490131415e+00
1.539999999999999919e-03	-5.803656327097039694e-04	-1.255840100740131415e+00
1.559999999999999972e-03	-3.264593827097039065e-04	-1.253398694490131415e+00
1.580000000000000024e-03	-5.852484452097039738e-04	-1.275371350740131415e+00
1.600000000000000077e-03	-3.240179764597039044e-04	-1.272929944490131415e+00
1.619999999999999912e-03	-5.876898514597039217e-04	-1.294902600740131415e+00
1.639999999999999965e-03	-3.215765702097039022e-04	-1.292461194490131415e+00
1.660000000000000017e-03	-5.876898514597039217e-04	-1.311992444490131415e+00
1.680000000000000070e-03	-2.971625077097039347e-04	-1.311992444490131415e+00
1.699999999999999905e-03	-5.583929764597038957e-04	-1.331523694490131415e+00
1.719999999999999958e-03	-2.703070389597039109e-04	-1.329082288240131415e+00
1.740000000000000010e-03	-5.437445389597038827e-04	-1.351054944490131415e+00
1.760000000000000063e-03	-2.483343827097038914e-04	-1.348613538240131415e+00
1.779999999999999898e-03	-5.193304764597039694e-04	-1.370586194490131415e+00
1.799999999999999951e-03	-1.921820389597039228e-04	-1.368144788240131415e+00
1.820000000000000003e-03	-4.680609452097039239e-04	-1.390117444490131415e+00
1.840000000000000056e-03	-1.189398514597039120e-04	-1.387676038240131415e+00
1.860000000000000108e-03	-4.070257889597039239e-04	-1.409648694490131415e+00
1.879999999999999944e-03	-2.860782020970391304e-05	-1.407207288240131415e+00
1.899999999999999996e-03	-3.313421952097039109e-04	-1.429179944490131415e+00
1.920000000000000049e-03	8.125546104029608967e-05	-1.426738538240131415e+00
1.940000000000000101e-03	-2.361273514597039076e-04	-1.446269788240131415e+00
1.959999999999999937e-03	1.764703047902960794e-04	-1.446269788240131415e+00
1.979999999999999989e-03	-1.457953202097039087e-04	-1.465801038240131415e+00
2.000000000000000042e-03	2.472710860402961152e-04	-1.465801038240131415e+00
2.020000000000000094e-03	-4.569766395970391467e-05	-1.485332288240131415e+00
2.040000000000000147e-03	3.131890547902961195e-04	-1.485332288240131415e+00
2.060000000000000199e-03	2.022030479029608628e-05	-1.504863538240131415e+00
2.079999999999999818e-03	3.620171797902961086e-04	-1.502422131990131415e+00
2.099999999999999870e-03	8.125546104029608967e-05	-1.524394788240131415e+00
2.119999999999999923e-03	4.401421797902960696e-04	-1.521953381990131415e+00
2.139999999999999975e-03	1.593804610402960913e-04	-1.543926038240131415e+00
2.160000000000000028e-03	5.255913985402960913e-04	-1.541484631990131415e+00
2.180000000000000080e-03	2.472710860402961152e-04	-1.561015881990131415e+00
2.200000000000000133e-03	5.890679610402961477e-04	-1.561015881990131415e+00
2.220000000000000185e-03	3.083062422902961152e-04	-1.580547131990131415e+00
2.239999999999999804e-03	6.232476485402960696e-04	-1.580547131990131415e+00
2.259999999999999856e-03	3.376031172902960870e-04	-1.600078381990131415e+00
2.279999999999999909e-03	6.574273360402959916e-04	-1.600078381990131415e+00
