time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-2.979463276110197456e-02	-9.460698177939967923e-01
1.000000000000000082e-05	-2.979463276110197456e-02	-9.460698177939967923e-01
2.000000000000000164e-05	-2.974580463610197734e-02	-9.424077084189967923e-01
3.000000000000000076e-05	-3.023408588610197734e-02	-9.497319271689967923e-01
4.000000000000000327e-05	-3.018525776110197664e-02	-9.448491146689967923e-01
5.000000000000000240e-05	-3.069795307360197525e-02	-9.521733334189967923e-01
6.000000000000000152e-05	-3.064912494860197456e-02	-9.485112240439967923e-01
6.999999999999999387e-05	-3.116182026110197664e-02	-9.558354427939967923e-01
8.000000000000000654e-05	-3.111299213610197595e-02	-9.509526302939967923e-01
9.000000000000000567e-05	-3.162568744860197456e-02	-9.582768490439967923e-01
1.000000000000000048e-04	-3.155244526110197872e-02	-9.546147396689967923e-01
1.100000000000000039e-04	-3.204072651110197872e-02	-9.607182552939967923e-01
1.200000000000000030e-04	-3.199189838610197456e-02	-9.570561459189967923e-01
1.299999999999999886e-04	-3.248017963610197456e-02	-9.631596615439967923e-01
1.399999999999999877e-04	-3.243135151110197734e-02	-9.594975521689967923e-01
1.499999999999999869e-04	-3.291963276110197734e-02	-9.668217709189967923e-01
1.600000000000000131e-04	-3.287080463610197317e-02	-9.631596615439967923e-01
1.700000000000000122e-04	-3.338349994860197872e-02	-9.692631771689967923e-01
1.800000000000000113e-04	-3.331025776110197595e-02	-9.656010677939967923e-01
1.900000000000000105e-04	-3.382295307360197456e-02	-9.717045834189967923e-01
2.000000000000000096e-04	-3.377412494860197734e-02	-9.680424740439967923e-01
2.100000000000000087e-04	-3.426240619860197734e-02	-9.753666927939967923e-01
2.200000000000000078e-04	-3.421357807360197317e-02	-9.717045834189967923e-01
2.300000000000000070e-04	-3.470185932360197317e-02	-9.790288021689967923e-01
2.400000000000000061e-04	-3.462861713610197734e-02	-9.741459896689967923e-01
2.500000000000000052e-04	-3.514131244860197595e-02	-9.814702084189967923e-01
2.599999999999999772e-04	-3.506807026110197317e-02	-9.765873959189967923e-01
2.700000000000000035e-04	-3.555635151110197317e-02	-9.839116146689967923e-01
2.799999999999999755e-04	-3.548310932360197734e-02	-9.778080990439967923e-01
2.900000000000000017e-04	-3.597139057360197734e-02	-9.839116146689967923e-01
2.999999999999999737e-04	-3.592256244860197317e-02	-9.741459896689967923e-01
3.099999999999999999e-04	-3.638642963610197456e-02	-9.814702084189967923e-01
3.200000000000000262e-04	-3.633760151110197734e-02	-9.717045834189967923e-01
3.299999999999999982e-04	-3.680146869860197872e-02	-9.778080990439967923e-01
3.400000000000000244e-04	-3.675264057360197456e-02	-9.692631771689967923e-01
3.499999999999999964e-04	-3.719209369860197734e-02	-9.753666927939967923e-01
3.600000000000000227e-04	-3.714326557360197317e-02	-9.656010677939967923e-01
3.699999999999999947e-04	-3.760713276110197456e-02	-9.729252865439967923e-01
3.800000000000000209e-04	-3.753389057360197872e-02	-9.631596615439967923e-01
3.899999999999999929e-04	-3.797334369860197456e-02	-9.692631771689967923e-01
4.000000000000000192e-04	-3.792451557360197734e-02	-9.594975521689967923e-01
4.099999999999999912e-04	-3.833955463610197456e-02	-9.668217709189967923e-01
4.200000000000000174e-04	-3.826631244860197872e-02	-9.570561459189967923e-01
4.299999999999999894e-04	-3.868135151110197595e-02	-9.643803646689967923e-01
4.400000000000000157e-04	-3.860810932360198011e-02	-9.546147396689967923e-01
4.499999999999999877e-04	-3.897432026110198011e-02	-9.607182552939967923e-01
4.600000000000000139e-04	-3.890107807360197734e-02	-9.509526302939967923e-01
4.699999999999999859e-04	-3.926728901110197734e-02	-9.582768490439967923e-01
4.800000000000000122e-04	-3.914521869860197734e-02	-9.485112240439967923e-01
4.899999999999999842e-04	-3.948701557360197872e-02	-9.558354427939967923e-01
5.000000000000000104e-04	-3.936494526110197872e-02	-9.460698177939967923e-01
5.100000000000000366e-04	-3.965791401110197595e-02	-9.521733334189967923e-01
5.199999999999999544e-04	-3.948701557360197872e-02	-9.424077084189967923e-01
5.299999999999999807e-04	-3.977998432360197595e-02	-9.497319271689967923e-01
5.400000000000000069e-04	-3.953584369860197595e-02	-9.399663021689967923e-01
5.500000000000000331e-04	-3.985322651110197872e-02	-9.460698177939967923e-01
5.599999999999999509e-04	-3.951142963610197734e-02	-9.375248959189967923e-01
5.699999999999999772e-04	-3.980439838610197456e-02	-9.436284115439967923e-01
5.800000000000000034e-04	-3.941377338610197595e-02	-9.338627865439967923e-01
5.900000000000000296e-04	-3.973115619860197872e-02	-9.411870052939967923e-01
5.999999999999999474e-04	-3.924287494860197872e-02	-9.314213802939967923e-01
6.099999999999999737e-04	-3.958467182360198011e-02	-9.387455990439967923e-01
6.199999999999999999e-04	-3.899873432360197872e-02	-9.289799740439967923e-01
6.300000000000000261e-04	-3.936494526110197872e-02	-9.350834896689967923e-01
6.400000000000000524e-04	-3.868135151110197595e-02	-9.265385677939967923e-01
6.499999999999999702e-04	-3.907197651110197456e-02	-9.326420834189967923e-01
6.599999999999999964e-04	-3.829072651110197734e-02	-9.228764584189967923e-01
6.700000000000000226e-04	-3.873017963610198011e-02	-9.302006771689967923e-01
6.800000000000000488e-04	-3.785127338610197456e-02	-9.204350521689967923e-01
6.899999999999999667e-04	-3.831514057360197595e-02	-9.265385677939967923e-01
6.999999999999999929e-04	-3.733857807360197595e-02	-9.179936459189967923e-01
7.100000000000000191e-04	-3.785127338610197456e-02	-9.240971615439967923e-01
7.200000000000000453e-04	-3.680146869860197872e-02	-9.143315365439967923e-01
7.299999999999999632e-04	-3.733857807360197595e-02	-9.216557552939967923e-01
7.399999999999999894e-04	-3.621553119860197734e-02	-9.118901302939967923e-01
7.500000000000000156e-04	-3.680146869860197872e-02	-9.192143490439967923e-01
7.600000000000000418e-04	-3.562959369860197595e-02	-9.094487240439967923e-01
7.699999999999999597e-04	-3.621553119860197734e-02	-9.155522396689967923e-01
7.799999999999999859e-04	-3.499482807360197734e-02	-9.070073177939967923e-01
7.900000000000000121e-04	-3.560517963610197734e-02	-9.131108334189967923e-01
8.000000000000000383e-04	-3.433564838610197317e-02	-9.033452084189967923e-01
8.099999999999999561e-04	-3.497041401110197872e-02	-9.106694271689967923e-01
8.199999999999999824e-04	-3.365205463610197734e-02	-9.009038021689967923e-01
8.300000000000000086e-04	-3.428682026110197595e-02	-9.070073177939967923e-01
8.400000000000000348e-04	-3.294404682360197595e-02	-8.972416927939967923e-01
8.499999999999999526e-04	-3.360322651110197317e-02	-9.045659115439967923e-01
8.599999999999999789e-04	-3.223603901110197456e-02	-8.948002865439967923e-01
8.700000000000000051e-04	-3.291963276110197734e-02	-9.021245052939967923e-01
