time[s]	CH1[V]	CH2[V] (num. of cycles: 4)
0.000000000000000000e+00	1.634224339535361725e-01	7.357980828536184181e-03
1.840402703536184268e-03	1.013999999999999971e-02	5.699165745785361725e-01
-2.272025660464638275e-01	8.676340203536183834e-03	2.027999999999999942e-02
2.000000000000000164e-05	1.536568089535361725e-01	7.602121453536184181e-03
1.840402703536184268e-03	1.016000000000000063e-02	5.723579808285361725e-01
-2.272025660464638275e-01	9.018137078536185222e-03	2.029999999999999860e-02
4.000000000000000327e-05	1.683052464535361725e-01	7.260324578536184528e-03
2.426340203536184355e-03	1.017999999999999981e-02	5.625923558285361725e-01
-2.247611597964638275e-01	8.627512078536184875e-03	2.032000000000000126e-02
6.000000000000000152e-05	1.609810277035361725e-01	7.553293328536184355e-03
1.938058953536184355e-03	1.020000000000000073e-02	5.650337620785361725e-01
-2.345267847964638275e-01	8.969308953536184528e-03	2.034000000000000044e-02
8.000000000000000654e-05	1.768501683285361725e-01	7.162668328536184875e-03
2.475168328536184181e-03	1.021999999999999992e-02	5.552681370785361725e-01
-2.333060816714638275e-01	8.627512078536184875e-03	2.035999999999999963e-02
1.000000000000000048e-04	1.683052464535361725e-01	7.455637078536184702e-03
2.035715203536184442e-03	1.024000000000000084e-02	5.577095433285361725e-01
-2.418510035464638275e-01	8.920480828536183834e-03	2.037999999999999881e-02
1.200000000000000030e-04	1.853950902035361725e-01	7.113840203536184181e-03
2.523996453536184442e-03	1.026000000000000002e-02	5.479439183285361725e-01
-2.406303004214638275e-01	8.578683953536184181e-03	2.040000000000000147e-02
1.399999999999999877e-04	1.744087620785361725e-01	7.406808953536184875e-03
2.084543328536184268e-03	1.027999999999999921e-02	5.491646214535361725e-01
-2.503959254214638275e-01	8.920480828536183834e-03	2.042000000000000065e-02
1.600000000000000131e-04	1.927193089535361725e-01	7.065012078536184355e-03
2.523996453536184442e-03	1.030000000000000013e-02	5.393989964535361725e-01
-2.479545191714638275e-01	8.529855828536185222e-03	2.043999999999999984e-02
1.800000000000000113e-04	1.829536839535361725e-01	7.406808953536184875e-03
2.133371453536184095e-03	1.031999999999999931e-02	5.418404027035361725e-01
-2.577201441714638275e-01	8.871652703536184875e-03	2.045999999999999902e-02
2.000000000000000096e-04	2.000435277035361725e-01	7.016183953536184528e-03
2.523996453536184442e-03	1.034000000000000023e-02	5.320747777035361725e-01
-2.552787379214638275e-01	8.481027703536184528e-03	2.048000000000000168e-02
2.200000000000000078e-04	1.902779027035361725e-01	7.357980828536184181e-03
2.133371453536184095e-03	1.035999999999999942e-02	5.345161839535361725e-01
-2.650443629214638275e-01	8.871652703536184875e-03	2.050000000000000086e-02
2.400000000000000061e-04	2.073677464535361725e-01	7.016183953536184528e-03
2.523996453536184442e-03	1.038000000000000034e-02	5.247505589535361725e-01
-2.638236597964638275e-01	8.481027703536184528e-03	2.052000000000000005e-02
2.599999999999999772e-04	1.988228245785361725e-01	7.357980828536184181e-03
2.133371453536184095e-03	1.039999999999999952e-02	5.271919652035361725e-01
-2.735892847964638275e-01	8.822824578536184181e-03	2.053999999999999923e-02
2.799999999999999755e-04	2.146919652035361725e-01	6.967355828536184702e-03
2.523996453536184442e-03	1.042000000000000044e-02	5.162056370785361725e-01
-2.711478785464638275e-01	8.481027703536184528e-03	2.055999999999999842e-02
2.999999999999999737e-04	2.061470433285361725e-01	7.357980828536184181e-03
2.133371453536184095e-03	1.043999999999999963e-02	5.186470433285361725e-01
-2.809135035464638275e-01	8.822824578536184181e-03	2.058000000000000107e-02
3.200000000000000262e-04	2.232368870785361725e-01	6.967355828536184702e-03
2.572824578536184268e-03	1.046000000000000055e-02	5.088814183285361725e-01
-2.784720972964638275e-01	8.481027703536184528e-03	2.060000000000000026e-02
3.400000000000000244e-04	2.134712620785361725e-01	7.357980828536184181e-03
2.182199578536184355e-03	1.047999999999999973e-02	5.101021214535361725e-01
-2.882377222964638275e-01	8.822824578536184181e-03	2.061999999999999944e-02
3.600000000000000227e-04	2.305611058285361725e-01	6.967355828536184702e-03
2.670480828536184355e-03	1.050000000000000065e-02	5.015571995785361725e-01
-2.870170191714638275e-01	8.481027703536184528e-03	2.063999999999999863e-02
3.800000000000000209e-04	2.220161839535361725e-01	7.309152703536184355e-03
2.182199578536184355e-03	1.051999999999999984e-02	5.027779027035361725e-01
-2.955619410464638275e-01	8.822824578536184181e-03	2.066000000000000128e-02
4.000000000000000192e-04	2.378853245785361725e-01	6.967355828536184702e-03
2.768137078536184442e-03	1.054000000000000076e-02	4.942329808285361725e-01
-2.943412379214638275e-01	8.481027703536184528e-03	2.068000000000000047e-02
4.200000000000000174e-04	2.293404027035361725e-01	7.309152703536184355e-03
2.279855828536184442e-03	1.055999999999999994e-02	4.954536839535361725e-01
-3.041068629214638275e-01	8.871652703536184875e-03	2.069999999999999965e-02
4.400000000000000157e-04	2.464302464535361725e-01	6.967355828536184702e-03
2.914621453536184355e-03	1.058000000000000086e-02	4.856880589535361725e-01
-3.016654566714638275e-01	8.529855828536185222e-03	2.071999999999999884e-02
4.600000000000000139e-04	2.366646214535361725e-01	7.309152703536184355e-03
2.377512078536184528e-03	1.060000000000000005e-02	4.881294652035361725e-01
-3.114310816714638275e-01	8.871652703536184875e-03	2.074000000000000149e-02
4.800000000000000122e-04	2.537544652035361725e-01	6.967355828536184702e-03
3.109933953536184528e-03	1.061999999999999923e-02	4.783638402035361725e-01
-3.102103785464638275e-01	8.578683953536184181e-03	2.076000000000000068e-02
5.000000000000000104e-04	2.439888402035361725e-01	7.357980828536184181e-03
2.572824578536184268e-03	1.064000000000000015e-02	4.808052464535361725e-01
-3.187553004214638275e-01	8.969308953536184528e-03	2.077999999999999986e-02
5.199999999999999544e-04	2.622993870785361725e-01	7.016183953536184528e-03
3.305246453536184268e-03	1.065999999999999934e-02	4.710396214535361725e-01
-3.175345972964638275e-01	8.627512078536184875e-03	2.079999999999999905e-02
5.400000000000000069e-04	2.525337620785361725e-01	7.406808953536184875e-03
2.719308953536184181e-03	1.068000000000000026e-02	4.722603245785361725e-01
-3.260795191714638275e-01	9.066965203536184181e-03	2.082000000000000170e-02
5.599999999999999509e-04	2.696236058285361725e-01	7.065012078536184355e-03
3.451730828536184181e-03	1.069999999999999944e-02	4.624946995785361725e-01
-3.248588160464638275e-01	8.676340203536183834e-03	2.084000000000000088e-02
5.800000000000000034e-04	2.598579808285361725e-01	7.455637078536184702e-03
2.914621453536184355e-03	1.072000000000000036e-02	4.649361058285361725e-01
-3.346244410464638275e-01	9.115793328536184875e-03	2.086000000000000007e-02
5.999999999999999474e-04	2.769478245785361725e-01	7.113840203536184181e-03
3.598215203536184528e-03	1.073999999999999955e-02	4.551704808285361725e-01
-3.321830347964638275e-01	8.773996453536185222e-03	2.087999999999999926e-02
6.199999999999999999e-04	2.671821995785361725e-01	7.553293328536184355e-03
3.012277703536184442e-03	1.076000000000000047e-02	4.563911839535361725e-01
-3.419486597964638275e-01	9.213449578536184528e-03	2.089999999999999844e-02
6.400000000000000524e-04	2.842720433285361725e-01	7.162668328536184875e-03
3.647043328536184355e-03	1.077999999999999965e-02	4.478462620785361725e-01
-3.407279566714638275e-01	8.822824578536184181e-03	2.092000000000000109e-02
6.599999999999999964e-04	2.745064183285361725e-01	7.699777703536184702e-03
3.109933953536184528e-03	1.080000000000000057e-02	4.490669652035361725e-01
-3.492728785464638275e-01	9.262277703536185222e-03	2.094000000000000028e-02
6.800000000000000488e-04	2.915962620785361725e-01	7.260324578536184528e-03
3.695871453536184181e-03	1.081999999999999976e-02	4.405220433285361725e-01
-3.480521754214638275e-01	8.920480828536183834e-03	2.095999999999999946e-02
6.999999999999999929e-04	2.830513402035361725e-01	7.895090203536184875e-03
3.158762078536184355e-03	1.084000000000000068e-02	4.417427464535361725e-01
-3.565970972964638275e-01	9.311105828536184181e-03	2.097999999999999865e-02
7.200000000000000453e-04	3.001411839535361725e-01	7.357980828536184181e-03
3.647043328536184355e-03	1.085999999999999986e-02	4.331978245785361725e-01
-3.553763941714638275e-01	9.018137078536185222e-03	2.100000000000000130e-02
7.399999999999999894e-04	2.903755589535361725e-01	8.090402703536184181e-03
3.158762078536184355e-03	1.088000000000000078e-02	4.344185277035361725e-01
-3.651420191714638275e-01	9.457590203536184528e-03	2.102000000000000049e-02
7.600000000000000418e-04	3.074654027035361725e-01	7.553293328536184355e-03
3.549387078536184268e-03	1.089999999999999997e-02	4.246529027035361725e-01
-3.639213160464638275e-01	9.066965203536184181e-03	2.103999999999999967e-02
7.799999999999999859e-04	2.976997777035361725e-01	8.236887078536184528e-03
3.061105828536184268e-03	1.091999999999999915e-02	4.258736058285361725e-01
-3.724662379214638275e-01	9.506418328536185222e-03	2.105999999999999886e-02
