time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-9.329429224917763774e-02	-1.222957410310443915e+00
1.000000000000000082e-05	-9.329429224917763774e-02	-1.222957410310443915e+00
2.000000000000000164e-05	-9.319663599917764329e-02	-1.219295300935443915e+00
3.000000000000000076e-05	-9.353843287417763774e-02	-1.226619519685443915e+00
4.000000000000000327e-05	-9.348960474917764052e-02	-1.222957410310443915e+00
5.000000000000000240e-05	-9.383140162417763497e-02	-1.230281629060443915e+00
6.000000000000000152e-05	-9.373374537417764052e-02	-1.226619519685443915e+00
6.999999999999999387e-05	-9.407554224917763497e-02	-1.233943738435443915e+00
8.000000000000000654e-05	-9.402671412417763774e-02	-1.230281629060443915e+00
9.000000000000000567e-05	-9.431968287417763497e-02	-1.237605847810443915e+00
1.000000000000000048e-04	-9.427085474917763774e-02	-1.233943738435443915e+00
1.100000000000000039e-04	-9.461265162417764607e-02	-1.241267957185443915e+00
1.200000000000000030e-04	-9.451499537417763774e-02	-1.237605847810443915e+00
1.299999999999999886e-04	-9.485679224917764607e-02	-1.244930066560443915e+00
1.399999999999999877e-04	-9.480796412417763497e-02	-1.241267957185443915e+00
1.499999999999999869e-04	-9.514976099917764329e-02	-1.248592175935443915e+00
1.600000000000000131e-04	-9.505210474917763497e-02	-1.244930066560443915e+00
1.700000000000000122e-04	-9.539390162417764329e-02	-1.252254285310443915e+00
1.800000000000000113e-04	-9.534507349917764607e-02	-1.248592175935443915e+00
1.900000000000000105e-04	-9.563804224917764329e-02	-1.255916394685443915e+00
2.000000000000000096e-04	-9.558921412417764607e-02	-1.252254285310443915e+00
2.100000000000000087e-04	-9.588218287417764329e-02	-1.259578504060443915e+00
2.200000000000000078e-04	-9.583335474917764607e-02	-1.255916394685443915e+00
2.300000000000000070e-04	-9.612632349917764329e-02	-1.263240613435443915e+00
2.400000000000000061e-04	-9.607749537417764607e-02	-1.259578504060443915e+00
2.500000000000000052e-04	-9.632163599917764607e-02	-1.266902722810443915e+00
2.599999999999999772e-04	-9.627280787417763497e-02	-1.263240613435443915e+00
2.700000000000000035e-04	-9.651694849917763497e-02	-1.270564832185443915e+00
2.799999999999999755e-04	-9.646812037417763774e-02	-1.268123425935443915e+00
2.900000000000000017e-04	-9.671226099917763774e-02	-1.274226941560443915e+00
2.999999999999999737e-04	-9.666343287417764052e-02	-1.270564832185443915e+00
3.099999999999999999e-04	-9.690757349917764052e-02	-1.277889050935443915e+00
3.200000000000000262e-04	-9.680991724917764607e-02	-1.274226941560443915e+00
3.299999999999999982e-04	-9.705405787417764607e-02	-1.281551160310443915e+00
3.400000000000000244e-04	-9.700522974917763497e-02	-1.279109754060443915e+00
