time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-4.994632118626644857e-02	-1.222726922286184070e+00
1.000000000000000082e-05	-4.994632118626644857e-02	-1.222726922286184070e+00
2.000000000000000164e-05	-4.994632118626644857e-02	-1.219064812911184070e+00
3.000000000000000076e-05	-4.994632118626644857e-02	-1.226389031661184070e+00
4.000000000000000327e-05	-4.994632118626644857e-02	-1.223947625411184070e+00
5.000000000000000240e-05	-4.994632118626644857e-02	-1.230051141036184070e+00
6.000000000000000152e-05	-4.994632118626644857e-02	-1.227609734786184070e+00
6.999999999999999387e-05	-4.994632118626644857e-02	-1.233713250411184070e+00
8.000000000000000654e-05	-4.994632118626644857e-02	-1.231271844161184070e+00
9.000000000000000567e-05	-4.994632118626644857e-02	-1.238596062911184070e+00
1.000000000000000048e-04	-4.994632118626644857e-02	-1.234933953536184070e+00
1.100000000000000039e-04	-4.994632118626644857e-02	-1.242258172286184070e+00
1.200000000000000030e-04	-4.994632118626644857e-02	-1.238596062911184070e+00
1.299999999999999886e-04	-4.994632118626644857e-02	-1.245920281661184070e+00
1.399999999999999877e-04	-4.994632118626644857e-02	-1.242258172286184070e+00
1.499999999999999869e-04	-4.994632118626644857e-02	-1.249582391036184070e+00
1.600000000000000131e-04	-4.994632118626644857e-02	-1.245920281661184070e+00
1.700000000000000122e-04	-4.994632118626644857e-02	-1.253244500411184070e+00
1.800000000000000113e-04	-4.994632118626644857e-02	-1.249582391036184070e+00
1.900000000000000105e-04	-4.994632118626644857e-02	-1.255685906661184070e+00
2.000000000000000096e-04	-4.994632118626644857e-02	-1.253244500411184070e+00
2.100000000000000087e-04	-4.994632118626644857e-02	-1.259348016036184070e+00
2.200000000000000078e-04	-4.994632118626644857e-02	-1.255685906661184070e+00
2.300000000000000070e-04	-4.994632118626644857e-02	-1.264230828536184070e+00
2.400000000000000061e-04	-4.994632118626644857e-02	-1.260568719161184070e+00
2.500000000000000052e-04	-4.994632118626644857e-02	-1.267892937911184070e+00
2.599999999999999772e-04	-4.994632118626644857e-02	-1.264230828536184070e+00
2.700000000000000035e-04	-4.994632118626644857e-02	-1.271555047286184070e+00
2.799999999999999755e-04	-4.994632118626644857e-02	-1.267892937911184070e+00
2.900000000000000017e-04	-4.994632118626644857e-02	-1.275217156661184070e+00
2.999999999999999737e-04	-4.994632118626644857e-02	-1.271555047286184070e+00
3.099999999999999999e-04	-4.994632118626644857e-02	-1.278879266036184070e+00
3.200000000000000262e-04	-4.994632118626644857e-02	-1.275217156661184070e+00
3.299999999999999982e-04	-4.994632118626644857e-02	-1.282541375411184070e+00
3.400000000000000244e-04	-4.994632118626644857e-02	-1.278879266036184070e+00
3.499999999999999964e-04	-4.994632118626644857e-02	-1.286203484786184070e+00
3.600000000000000227e-04	-4.994632118626644857e-02	-1.282541375411184070e+00
3.699999999999999947e-04	-4.994632118626644857e-02	-1.289865594161184070e+00
3.800000000000000209e-04	-4.994632118626644857e-02	-1.286203484786184070e+00
3.899999999999999929e-04	-4.994632118626644857e-02	-1.293527703536184070e+00
4.000000000000000192e-04	-4.994632118626644857e-02	-1.289865594161184070e+00
4.099999999999999912e-04	-4.994632118626644857e-02	-1.297189812911184070e+00
4.200000000000000174e-04	-4.994632118626644857e-02	-1.293527703536184070e+00
4.299999999999999894e-04	-4.994632118626644857e-02	-1.300851922286184070e+00
4.400000000000000157e-04	-4.994632118626644857e-02	-1.297189812911184070e+00
4.499999999999999877e-04	-4.994632118626644857e-02	-1.304514031661184070e+00
4.600000000000000139e-04	-4.994632118626644857e-02	-1.300851922286184070e+00
4.699999999999999859e-04	-4.994632118626644857e-02	-1.308176141036184070e+00
4.800000000000000122e-04	-4.994632118626644857e-02	-1.304514031661184070e+00
4.899999999999999842e-04	-4.994632118626644857e-02	-1.311838250411184070e+00
5.000000000000000104e-04	-4.994632118626644857e-02	-1.308176141036184070e+00
5.100000000000000366e-04	-4.994632118626644857e-02	-1.315500359786184070e+00
5.199999999999999544e-04	-4.994632118626644857e-02	-1.311838250411184070e+00
5.299999999999999807e-04	-4.994632118626644857e-02	-1.319162469161184070e+00
5.400000000000000069e-04	-4.994632118626644857e-02	-1.315500359786184070e+00
5.500000000000000331e-04	-4.994632118626644857e-02	-1.322824578536184070e+00
5.599999999999999509e-04	-4.994632118626644857e-02	-1.319162469161184070e+00
5.699999999999999772e-04	-4.994632118626644857e-02	-1.326486687911184070e+00
5.800000000000000034e-04	-4.994632118626644857e-02	-1.322824578536184070e+00
5.900000000000000296e-04	-4.994632118626644857e-02	-1.330148797286184070e+00
5.999999999999999474e-04	-4.994632118626644857e-02	-1.326486687911184070e+00
6.099999999999999737e-04	-4.994632118626644857e-02	-1.333810906661184070e+00
6.199999999999999999e-04	-4.994632118626644857e-02	-1.330148797286184070e+00
6.300000000000000261e-04	-4.994632118626644857e-02	-1.337473016036184070e+00
6.400000000000000524e-04	-4.994632118626644857e-02	-1.333810906661184070e+00
6.499999999999999702e-04	-4.994632118626644857e-02	-1.341135125411184070e+00
6.599999999999999964e-04	-4.994632118626644857e-02	-1.337473016036184070e+00
6.700000000000000226e-04	-4.994632118626644857e-02	-1.344797234786184070e+00
6.800000000000000488e-04	-4.994632118626644857e-02	-1.341135125411184070e+00
6.899999999999999667e-04	-4.994632118626644857e-02	-1.348459344161184070e+00
6.999999999999999929e-04	-4.994632118626644857e-02	-1.344797234786184070e+00
7.100000000000000191e-04	-4.994632118626644857e-02	-1.352121453536184070e+00
7.200000000000000453e-04	-4.994632118626644857e-02	-1.348459344161184070e+00
7.299999999999999632e-04	-4.994632118626644857e-02	-1.355783562911184070e+00
7.399999999999999894e-04	-4.994632118626644857e-02	-1.352121453536184070e+00
7.500000000000000156e-04	-4.994632118626644857e-02	-1.359445672286184070e+00
