time[s]	CH1[V]	CH2[V] (num. of cycles: 1)
0.000000000000000000e+00	-7.229501824629934459e-02	-1.222886738024259845e+00
1.000000000000000082e-05	-7.229501824629934459e-02	-1.222886738024259845e+00
2.000000000000000164e-05	-7.224619012129934736e-02	-1.219224628649259845e+00
3.000000000000000076e-05	-7.273447137129934736e-02	-1.226548847399259845e+00
4.000000000000000327e-05	-7.268564324629935014e-02	-1.222886738024259845e+00
5.000000000000000240e-05	-7.317392449629935014e-02	-1.230210956774259845e+00
6.000000000000000152e-05	-7.312509637129935292e-02	-1.226548847399259845e+00
6.999999999999999387e-05	-7.361337762129935292e-02	-1.233873066149259845e+00
8.000000000000000654e-05	-7.356454949629935569e-02	-1.230210956774259845e+00
9.000000000000000567e-05	-7.405283074629935569e-02	-1.237535175524259845e+00
1.000000000000000048e-04	-7.400400262129934459e-02	-1.233873066149259845e+00
1.100000000000000039e-04	-7.449228387129934459e-02	-1.241197284899259845e+00
1.200000000000000030e-04	-7.444345574629934736e-02	-1.237535175524259845e+00
1.299999999999999886e-04	-7.493173699629934736e-02	-1.244859394274259845e+00
1.399999999999999877e-04	-7.483408074629935292e-02	-1.241197284899259845e+00
1.499999999999999869e-04	-7.532236199629935292e-02	-1.248521503649259845e+00
1.600000000000000131e-04	-7.527353387129935569e-02	-1.244859394274259845e+00
1.700000000000000122e-04	-7.571298699629935847e-02	-1.252183613024259845e+00
1.800000000000000113e-04	-7.566415887129934736e-02	-1.248521503649259845e+00
1.900000000000000105e-04	-7.615244012129934736e-02	-1.255845722399259845e+00
2.000000000000000096e-04	-7.605478387129935292e-02	-1.252183613024259845e+00
2.100000000000000087e-04	-7.654306512129935292e-02	-1.259507831774259845e+00
2.200000000000000078e-04	-7.649423699629935569e-02	-1.257066425524259845e+00
2.300000000000000070e-04	-7.693369012129935847e-02	-1.263169941149259845e+00
2.400000000000000061e-04	-7.688486199629934736e-02	-1.260728534899259845e+00
2.500000000000000052e-04	-7.732431512129935014e-02	-1.266832050524259845e+00
2.599999999999999772e-04	-7.722665887129935569e-02	-1.263169941149259845e+00
2.700000000000000035e-04	-7.766611199629935847e-02	-1.270494159899259845e+00
2.799999999999999755e-04	-7.761728387129934736e-02	-1.266832050524259845e+00
2.900000000000000017e-04	-7.805673699629935014e-02	-1.274156269274259845e+00
2.999999999999999737e-04	-7.795908074629935569e-02	-1.271714863024259845e+00
3.099999999999999999e-04	-7.844736199629935569e-02	-1.277818378649259845e+00
3.200000000000000262e-04	-7.834970574629934736e-02	-1.274156269274259845e+00
3.299999999999999982e-04	-7.878915887129935014e-02	-1.281480488024259845e+00
3.400000000000000244e-04	-7.869150262129935569e-02	-1.279039081774259845e+00
3.499999999999999964e-04	-7.913095574629935847e-02	-1.285142597399259845e+00
3.600000000000000227e-04	-7.908212762129934736e-02	-1.282701191149259845e+00
3.699999999999999947e-04	-7.952158074629935014e-02	-1.288804706774259845e+00
3.800000000000000209e-04	-7.942392449629935569e-02	-1.286363300524259845e+00
3.899999999999999929e-04	-7.986337762129935847e-02	-1.293687519274259845e+00
4.000000000000000192e-04	-7.976572137129935014e-02	-1.290025409899259845e+00
4.099999999999999912e-04	-8.020517449629935292e-02	-1.296128925524259845e+00
4.200000000000000174e-04	-8.015634637129935569e-02	-1.293687519274259845e+00
4.299999999999999894e-04	-8.054697137129934736e-02	-1.299791034899259845e+00
4.400000000000000157e-04	-8.044931512129935292e-02	-1.297349628649259845e+00
4.499999999999999877e-04	-8.088876824629935569e-02	-1.303453144274259845e+00
4.600000000000000139e-04	-8.079111199629934736e-02	-1.301011738024259845e+00
4.699999999999999859e-04	-8.123056512129935014e-02	-1.308335956774259845e+00
4.800000000000000122e-04	-8.118173699629935292e-02	-1.304673847399259845e+00
4.899999999999999842e-04	-8.157236199629935847e-02	-1.310777363024259845e+00
5.000000000000000104e-04	-8.147470574629935014e-02	-1.308335956774259845e+00
5.100000000000000366e-04	-8.191415887129935292e-02	-1.315660175524259845e+00
5.199999999999999544e-04	-8.186533074629935569e-02	-1.311998066149259845e+00
5.299999999999999807e-04	-8.225595574629934736e-02	-1.318101581774259845e+00
